species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12611,2612,78429,3074,5,16,3,7,NA,90,NA,433
Cutibacterium granulosum,8,13,57,124,NA,1,NA,NA,NA,2,NA,NA
Cutibacterium equinum,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,3,6,5,NA,NA,NA,NA,NA,NA,NA,NA
Arachnia propionica,12,4,NA,1,NA,2,NA,NA,NA,NA,NA,NA
Naumannella halotolerans,4,13,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Microlunatus sagamiharensis,3,83,NA,NA,NA,16,NA,NA,NA,6,NA,NA
Acidipropionibacterium jensenii,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Auraticoccus monumenti,1,16,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Raineyella fluvialis,1,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,96,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardioides sp. InS609-2,3,46,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides sp. JQ2195,2,27,74,NA,NA,4,NA,NA,NA,NA,NA,NA
Nocardioides sp. TF02-7,1,39,NA,NA,NA,3,NA,1,NA,NA,NA,NA
Nocardioides sp. NBC_00163,1,17,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. LMS-CY,1,79,NA,1,NA,10,NA,NA,NA,2,NA,NA
Nocardioides sp. NBC_00850,1,21,NA,NA,NA,2,NA,1,NA,1,NA,NA
Nocardioides sp. R1-1,1,18,NA,NA,1,2,NA,NA,NA,NA,NA,NA
Nocardioides ochotonae,2,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides aquaticus,2,56,NA,NA,NA,25,NA,1,NA,NA,NA,NA
Nocardioides cynanchi,1,54,NA,1,NA,1,NA,NA,NA,2,NA,NA
Nocardioides pantholopis,1,35,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides renjunii,1,53,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides dongkuii,1,38,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. CTD01-1L150,104,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. Leaf245,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium choanae,2,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
