species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,9793,2122,67148,2459,4,11,3,7,NA,75,NA,320
Cutibacterium granulosum,7,12,49,88,NA,NA,NA,NA,NA,2,NA,NA
Cutibacterium modestum,4,1,14,1,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Naumannella halotolerans,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. A1-2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,480,20,NA,3,NA,NA,NA,1,NA,1,NA,4
Georgenia sp. TF02-10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium spongiae,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium aurantiacum,2,6,NA,NA,179,26,NA,NA,NA,NA,NA,5
Cellulomonas sp. NS3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachybacterium saurashtrense,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,100,46,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,44,13,2,7,NA,NA,NA,2,NA,NA,NA,NA
Corynebacterium kroppenstedtii,17,39,10578,31,NA,2,NA,NA,NA,1,NA,NA
Corynebacterium genitalium,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium appendicis,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,9,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium minutissimum,1,10,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia rubripertincta,150,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Gordonia insulae,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia sp. KTR9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia iterans,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. 20KCMC460,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. M23085,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,30,3,NA,3,NA,1,NA,NA,NA,NA,NA,NA
Mycobacterium colombiense,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium saskatchewanense,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium parmense,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium litorale,7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium sp. TUM20985,2,8,NA,NA,NA,1,NA,NA,1,NA,NA,NA
Mycolicibacterium diernhoferi,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium celeriflavum,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium aurum,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
