"name"	"taxRank"	"taxID"	"Max"	"ZC1_S4.cladeReads"	"ZC2_S5.cladeReads"	"ZC3_S6.cladeReads"	"ZC4_S7.cladeReads"	"ZP1_S20.cladeReads"	"ZP2_S21.cladeReads"	"ZP3_S22.cladeReads"	"lineage"
"root><wbr>...><wbr>Bacillus spizizenii"	"S"	96241	40860	40860	36625	36466	29829	34185	31658	36504	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus subtilis"	"S"	1423	8559	6442	7142	8559	5234	4907	8190	6473	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus velezensis"	"S"	492670	248	241	248	127	160	190	NA	231	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group"
"root><wbr>...><wbr>Bacillus vallismortis"	"S"	72361	157	141	151	157	73	111	105	118	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus inaquosorum"	"S"	483913	167	154	167	138	94	121	96	129	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus halotolerans"	"S"	260554	85	77	85	51	59	45	49	69	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;mojavensis&nbsp;subgroup"
"root><wbr>...><wbr>Bacillus stercoris"	"S"	2054641	149	149	111	142	127	107	92	135	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus atrophaeus"	"S"	1452	35	35	30	27	23	23	32	28	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus tequilensis"	"S"	227866	64	49	40	60	51	46	35	64	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus rugosus"	"S"	2715209	65	62	65	59	38	39	48	49	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus"
