species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12290,2692,76828,3026,5,29,NA,7,NA,96,NA,426
Cutibacterium granulosum,8,14,57,120,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,91,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,38,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,79,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,680,26,NA,5,NA,NA,NA,NA,NA,NA,NA,6
Microbacterium sp. che218,83,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces sp. MMS24-JH15,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kytococcus sedentarius,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruania zhangjianzhongii,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,162,107,5,45,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,56,21,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,26,53,12933,48,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium genitalium,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,27,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,27,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia insulae,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,190,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hymeniacidonis,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces anthocyanicus,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces luteogriseus,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,40,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parafrankia sp. EAN1pec,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatrophihabitans sp. GAS493,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longispora sp. K20-0274,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora sp. WMMD998,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubrobacter xylanophilus,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,54,7,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus sp. PPSBB_11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,49,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas maltophilia,99,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas sp. WHRI 8082,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas pavanii,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas yindakuii,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. R10,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xanthomonas hydrangeae,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoxanthomonas sp.,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysobacter sp. S4-A87,36,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermomonas sp. XSG,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
Dyella terrae,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyella caseinilytica,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tahibacter amnicola,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dokdonella koreensis,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter sp. KS-LM10,35,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter sp. A2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter johnsonii,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter haemolyticus,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter courvalinii,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter gandensis,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella osloensis,14,34,10,45,NA,NA,NA,NA,NA,40,NA,NA
Klebsiella aerogenes,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rouxiella chamberiensis,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
