species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,13283,3250,78893,3083,NA,56,NA,NA,NA,129,NA,458
Propionimicrobium sp. PCR01-08-3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arachnia propionica,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,161,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,18,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,104,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioidaceae bacterium,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00525,99,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01167,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SN-593,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces pristinaespiralis,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,165,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces luteogriseus,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces zaomyceticus,13,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces xanthii,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitasatospora sp. NBC_01560,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Embleya sp. NBC_00896,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,699,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobacter sulfonylureivorans,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces aureus,103,29,NA,NA,NA,40,NA,NA,NA,NA,NA,NA
Agrococcus sp. Marseille-Q4369,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salinibacterium hongtaonis,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium imperiale,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,32,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteroides abscessus,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,29,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium novocastrense,24,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,179,85,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,28,62,252,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium pseudokroppenstedtii,28,NA,4637,19,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium genitalium,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia salmonicida,32,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcus sp. W8901,16,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcus sp. P-2,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia polyisoprenivorans,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. 2-15,213,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hymeniacidonis,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jiangella alkaliphila,52,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,42,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinomadura sp. WMMB 499,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
