species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,6210,1283,45408,1370,1,5,1,5,NA,43,NA,153
Cutibacterium granulosum,5,5,26,38,NA,NA,NA,NA,NA,1,NA,NA
Cutibacterium modestum,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,232,9,NA,1,NA,NA,NA,1,NA,NA,NA,2
Brevibacterium spongiae,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,66,35,1,16,NA,NA,NA,NA,NA,1,NA,NA
Corynebacterium marquesiae,25,6,1,3,NA,NA,NA,1,NA,NA,NA,NA
Corynebacterium kroppenstedtii,15,21,6924,12,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium doosanense,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Corynebacterium genitalium,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Prescottella equi,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonomuraea glycinis,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,25,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,8,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,216,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes aquatilis,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caldimonas aquatica,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoluteimonas lycopersici,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. MC1750,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella osloensis,5,14,6,15,NA,NA,NA,3,NA,13,NA,2
Microvirga ossetica,8,26,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. 170,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chelativorans sp. AA-79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pararhizobium sp. A13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphingomonas sp. Y38-1Y,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteitalea pratensis,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenobacter sp. BRD67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,1241,2631,3992,6139,530,118,264,96,4,252,50,154
