species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,11499,2402,74286,2860,5,13,3,7,NA,85,NA,384
Cutibacterium granulosum,8,12,53,111,NA,NA,NA,NA,NA,2,NA,NA
Cutibacterium modestum,3,3,24,3,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,3,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Propionibacterium acidifaciens,4,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Naumannella halotolerans,3,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Raineyella fluvialis,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. LMS-CY,2,26,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Nocardioides sp. NBC_00163,1,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. A1-2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mumia sp. Pv 4-285,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,1,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,626,20,NA,4,NA,1,NA,1,NA,1,NA,6
Pseudarthrobacter oxydans,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cellulomonas fimi,37,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cellulomonas sp. NS3,3,8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Curtobacterium sp. L1-20,15,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. 2P06AB,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium esteraromaticum,2,2,NA,NA,NA,1,NA,NA,NA,1,1,1
Microbacterium protaetiae,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Microbacterium trichothecenolyticum,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces silvae,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salinibacterium sp. UTAS2018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryobacterium arcticum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbiconiux sp. L3-i23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frondihabitans sp. 762G35,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcella sp.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium spongiae,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium sp. BDJS002,1,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA
Brevibacterium aurantiacum,1,5,NA,1,221,31,NA,NA,NA,NA,NA,3
Brevibacterium casei,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Georgenia yuyongxinii,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,133,58,1,29,NA,NA,NA,NA,NA,2,NA,NA
Corynebacterium marquesiae,47,11,2,10,NA,NA,NA,2,NA,NA,NA,NA
Corynebacterium kroppenstedtii,21,41,12439,40,NA,1,NA,NA,NA,1,NA,NA
Corynebacterium genitalium,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marinum,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium doosanense,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Corynebacterium aquatimens,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium hindlerae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium striatum,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium minutissimum,1,9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,7,11,63,8,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium mustelae,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,46,20,NA,NA,NA,34,NA,NA,NA,NA,NA,NA
Mycobacterium colombiense,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. 20KCMC460,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. M23085,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,37,5,NA,4,NA,1,NA,NA,NA,NA,NA,NA
Mycobacterium parmense,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium saskatchewanense,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium noviomagense,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium conspicuum,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,16,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacterium parafortuitum,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium litorale,10,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium diernhoferi,4,9,NA,NA,2,1,NA,NA,NA,NA,NA,NA
Mycolicibacterium celeriflavum,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium moriokaense,2,10,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
Mycolicibacterium hassiacum,3,16,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Mycolicibacterium aurum,2,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacterium goodii,4,7,NA,1,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,89,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sp. NBC_00511,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia huaxiensis,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Rhodococcus opacus,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,4,11,NA,NA,NA,NA,NA,NA,NA,1,NA,2
Prescottella equi,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia insulae,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia sp. KTR9,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia iterans,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tsukamurella pulmonis,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00057,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SCSIO ZS0520,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00457,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NL15-2K,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. CB01881,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00370,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. S063,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01390,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. AM 4-1-1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01768,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01213,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces davaonensis,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces cadmiisoli,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Streptomyces vilmorinianum,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Streptomyces ambofaciens,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,1,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces collinus,1,9,NA,1,NA,2,NA,NA,NA,1,NA,NA
Streptoverticillium reticulum,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces noursei,1,9,NA,NA,1,1,NA,NA,NA,NA,NA,NA
Streptomyces xinghaiensis,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces zaomyceticus,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptacidiphilus sp. PB12-B1b,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinacidiphila reveromycinica,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitasatospora sp. NBC_01246,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,240,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Amycolatopsis acidiphila,1,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kutzneria albida,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saccharomonospora viridis,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora sp. WMMD1155,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora purpureochromogenes,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora echinaurantiaca,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora aurantiaca,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoplanes sp. NBC_00393,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoplanes sp. L3-i22,1,12,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Actinoplanes teichomyceticus,1,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Plantactinospora sp. ZYX-F-223,1,8,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Phytohabitans suffuscus,1,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Dactylosporangium sp. NBC_01737,1,14,NA,NA,NA,1,NA,NA,NA,3,NA,NA
Parafrankia sp. EAN1pec,18,12,NA,NA,1,1,NA,NA,NA,NA,NA,NA
Frankia sp. ArI3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schaalia meyeri,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schaalia sp. 19OD2882,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schaalia odontolytica,1,14,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Nanchangia anserum,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buchananella felis,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Arcanobacterium wilhelmae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphaerisporangium sp. NBC_01403,2,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nonomuraea glycinis,1,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Actinomadura luteofluorescens,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermomonospora curvata,1,22,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kineococcus sp. DHX-1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatrophihabitans cynanchi,2,7,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
Bifidobacterium actinocoloniiforme,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bifidobacterium animalis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jiangella alkaliphila,1,17,NA,1,NA,1,NA,NA,NA,1,NA,NA
Svornostia abyssi,20,29,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Ilumatobacter sp.,6,24,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Ilumatobacter coccineus,2,28,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Candidatus Poriferisodalis sp.,3,23,NA,NA,NA,1,1,NA,NA,1,NA,NA
Actinomarinicola tropica,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acidimicrobium ferrooxidans,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermophilibacter mediterraneus,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euzebya pacifica,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubrobacter tropicus,1,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,51,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Lacticaseibacillus rhamnosus,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Levilactobacillus suantsaii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus pedocola,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus sp. SYP-B4298,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus elgii,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus cellulosilyticus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus algicola,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacillus brevis,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cytobacillus firmus,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metabacillus halosaccharovorans,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanobacillus sp. FSL K6-2867,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanobacillus kapialis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psychrobacillus sp. L4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoxybacillus sp. PDR2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Listeria innocua,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Staphylococcus epidermidis,1,234,24,252,NA,13,NA,22,NA,10,NA,9
