species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12657,2813,78430,3080,NA,43,NA,NA,NA,113,NA,437
Arachnia propionica,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. CTD01-1L150,104,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,96,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,157,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,41,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,706,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. che218,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium marinum,19,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA
Microbacterium atlanticum,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces aureus,96,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces sp. MMS24-JH15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrococcus sp. Marseille-Q4369,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kytococcus sedentarius,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruania zhangjianzhongii,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01167,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00287,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SCSIO ZS0520,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces yatensis,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces anthocyanicus,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,144,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces lavendulae,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces luteogriseus,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces xanthii,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinacidiphila reveromycinica,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Embleya sp. NBC_00896,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteroides abscessus,139,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,26,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,169,133,NA,51,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,27,59,13264,51,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium genitalium,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia salmonicida,34,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,20,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,209,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hymeniacidonis,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jiangella alkaliphila,57,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,41,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longispora sp. K20-0274,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parafrankia sp. EAN1pec,18,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatrophihabitans sp. GAS493,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinomadura sp. WMMB 499,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conexibacter sp. S30A1,49,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,20,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Poriferisodalis sp.,13,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudalkalibacillus hwajinpoensis,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaerocolumna sp. AGMB13020,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,54,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. I71,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CCGE-LA001,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1650,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. ORS 111,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
