species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,7357,2133,54697,1727,NA,NA,NA,NA,NA,85,NA,228
Rothia mucilaginosa,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,350,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga sp. RSM25,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,1913,3816,4984,8532,554,290,465,204,NA,424,110,330
Malassezia restricta,227,241,987,248,NA,NA,NA,NA,NA,NA,NA,28
Triticum dicoccoides,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,30,2641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
