species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,7352,1593,54697,1711,1,5,1,6,NA,52,NA,224
Cutibacterium granulosum,6,7,33,61,NA,NA,NA,NA,NA,1,NA,NA
Cutibacterium modestum,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. A1-2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,241,10,NA,1,NA,NA,NA,1,NA,1,NA,3
Brevibacterium aurantiacum,2,NA,NA,NA,144,24,NA,NA,NA,NA,NA,NA
Georgenia sp. TF02-10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serinicoccus hydrothermalis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,75,25,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,35,6,1,2,NA,NA,NA,1,NA,NA,NA,NA
Corynebacterium kefirresidentii,6,28,141,7,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,5,17,8169,18,NA,NA,NA,NA,NA,1,NA,NA
Corynebacterium genitalium,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium minutissimum,1,7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. 20KCMC460,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium litorale,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium sp. TUM20985,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
Mycolicibacterium celeriflavum,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium aurum,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacterium moriokaense,1,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Gordonia iterans,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00513,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Plantactinospora sp. ZYX-F-223,1,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Thermophilibacter mediterraneus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,38,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoxybacillus sp. PDR2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanobacillus sp. FSL K6-2867,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
[Ruminococcus] torques,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaerocolumna sp. AGMB13020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,7,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,324,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. NLF5-7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycoavidus cysteinexigens,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkholderia dolosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraburkholderia terricola,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA
Telluria beijingensis,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
