species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,13189,3285,78236,3075,NA,56,NA,NA,NA,125,NA,454
Propionimicrobium sp. PCR01-08-3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,150,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,17,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,102,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioidaceae bacterium,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,693,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobacter sulfonylureivorans,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces aureus,65,30,NA,NA,NA,36,NA,NA,NA,NA,NA,NA
Agrococcus sp. Marseille-Q4369,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salinibacterium hongtaonis,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,28,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteroides abscessus,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,37,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,177,86,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,28,61,249,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium pseudokroppenstedtii,27,NA,4533,19,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia salmonicida,26,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00525,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,147,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces pristinaespiralis,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces luteogriseus,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. 2-15,206,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hymeniacidonis,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,41,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jiangella alkaliphila,19,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parafrankia sp. EAN1pec,18,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatrophihabitans sp. GAS493,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinomadura sp. WMMB 499,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conexibacter sp. S30A1,37,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capillimicrobium parvum,31,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcoleus vaginatus,64,721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,26,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichocoleus desertorum,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nostoc sp. MS1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus pedocola,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
