#0	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/D1RP_S9.bracken (21124 reads)
#1	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/D1SG_S1.bracken (29022 reads)
#2	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/D2RP_S10.bracken (103295 reads)
#3	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/D2SG_S2.bracken (22854 reads)
#4	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/L1RP_S13.bracken (5156 reads)
#5	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/L1SG_S5.bracken (2658 reads)
#6	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/L2RP_S14.bracken (107358 reads)
#7	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/L2SG_S6.bracken (8271 reads)
#8	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/S1RP_S11.bracken (746 reads)
#9	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/S1SG_S3.bracken (1495 reads)
#10	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/S2RP_S12.bracken (159744 reads)
#11	/scratch/prj/aef_forensic_metagenomics/exposure_folder/processed_data/metagenomic/bracken/S2SG_S4.bracken (2982 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11
0	0.000	0.652	0.733	0.659	0.857	0.942	0.985	0.975	0.994	0.918	0.997	0.910
1	x.xxx	0.000	0.830	0.538	0.878	0.884	0.986	0.969	0.995	0.927	0.997	0.924
2	x.xxx	x.xxx	0.000	0.744	0.965	0.987	0.991	0.993	0.999	0.982	0.998	0.980
3	x.xxx	x.xxx	x.xxx	0.000	0.863	0.927	0.985	0.958	0.994	0.911	0.996	0.902
4	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.765	0.983	0.945	0.977	0.735	0.993	0.853
5	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.987	0.902	0.959	0.579	0.995	0.743
6	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.862	0.998	0.985	0.998	0.989
7	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.985	0.910	0.997	0.912
8	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.938	0.999	0.963
9	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.996	0.640
10	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.980
11	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000
