species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,3512,751,34845,802,NA,1,NA,4,NA,20,NA,88
Cutibacterium granulosum,2,3,9,17,NA,NA,NA,NA,NA,1,NA,NA
Rothia mucilaginosa,89,4,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Corynebacterium tuberculostearicum,29,23,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,10,4,1,2,NA,NA,NA,1,NA,NA,NA,NA
Corynebacterium kroppenstedtii,2,11,4937,8,NA,NA,NA,NA,NA,1,NA,NA
Corynebacterium kefirresidentii,2,9,70,6,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,17,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Anaerocolumna sp. AGMB13020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,115,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Dyella caseinilytica,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrobacter hamburgensis,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium diazoefficiens,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,3,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Agrobacterium tumefaciens,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paremcibacter congregatus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitinophaga horti,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenobacter sp. BRD67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteitalea pratensis,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deinococcus deserti,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,848,1619,1819,3555,201,101,183,93,3,172,49,106
Malassezia restricta,116,110,434,84,NA,NA,NA,1,NA,1,NA,15
Penicillium digitatum,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,7,1157,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Micromonas commoda,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
