species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12506,2882,77811,3074,NA,41,NA,NA,NA,109,NA,435
Kribbella sp. NBC_00359,143,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,40,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,94,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. CTD01-1L150,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,696,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. che218,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces aureus,57,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces sp. MMS24-JH15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrococcus sp. Marseille-Q4369,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kytococcus sedentarius,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruania zhangjianzhongii,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteroides abscessus,57,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,27,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,168,135,NA,51,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,27,61,13148,51,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia salmonicida,25,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,21,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces anthocyanicus,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,93,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces yatensis,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces lavendulae,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces luteogriseus,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,203,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hymeniacidonis,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jiangella alkaliphila,20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parafrankia sp. EAN1pec,18,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatrophihabitans sp. GAS493,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longispora sp. K20-0274,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conexibacter sp. S30A1,24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Poriferisodalis sp.,11,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaerocolumna sp. AGMB13020,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,51,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. I71,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CCGE-LA001,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1650,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. ORS 111,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. ORS 278,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium arachidis,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium lablabi,14,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium ontarionense,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodopseudomonas palustris,22,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrobacter hamburgensis,15,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. ISC25,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. L-2-11,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium muleiense,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium erdmanii,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium onobrychidis,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga sp. RSM25,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,45,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga roseola,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga lotononidis,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylobacterium currus,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium beringeri,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium leguminosarum,28,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudorhizobium banfieldiae,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
