species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12667,3187,78430,3081,NA,NA,NA,NA,NA,168,NA,441
Aeromicrobium sp. CTD01-1L150,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,41,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,710,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces aureus,100,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. che218,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrococcus sp. Marseille-Q4369,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteroides abscessus,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,170,167,NA,51,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,27,72,13264,51,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia salmonicida,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
