species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12886,3590,77209,3030,NA,NA,NA,NA,NA,166,NA,450
Kribbella sp. NBC_00359,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,203,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. 2-15,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas yindakuii,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. R10,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas maltophilia,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter johnsonii,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter haemolyticus,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Sedimenticola sp. (ex Thyasira tokunagai),105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klebsiella aerogenes,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,565,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium arachidis,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. L-2-11,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga lotononidis,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uncultured bacterium contig00001,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Manganitrophus sp.,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minicystis rosea,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vicinamibacterales bacterium,43,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiospora kogelbergensis,1369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beauveria bassiana,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verticillium dahliae,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venustampulla echinocandica,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyaloscypha bicolor,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium pulvis,1577,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxophila tyrrhenica,415,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA
Neohortaea acidophila,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissoconium aciculare,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alternaria viburni,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alternaria rosae,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malassezia restricta,360,529,1754,508,NA,NA,NA,NA,NA,NA,NA,73
Malassezia globosa,75,204,166,105,NA,NA,NA,NA,228,NA,NA,NA
Homo sapiens,3699,6969,11312,16056,1829,506,769,365,NA,762,NA,561
Citrus cavaleriei,343,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,89,1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
