species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,9801,3038,67149,2475,NA,NA,NA,NA,NA,123,NA,326
Rothia mucilaginosa,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia rubripertincta,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,108,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egicoccus halophilus,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,24,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escherichia coli,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. MC1750,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,21,NA,NA,NA,28,NA,NA,NA,NA,NA,40,NA
Alcaligenes faecalis,432,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga sp. RSM25,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga roseola,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,44,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium leguminosarum,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stieleria marina,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,3149,5803,8172,12897,1010,498,679,275,23,612,170,443
Malassezia restricta,318,381,1403,375,NA,NA,NA,NA,NA,NA,NA,47
Solanum dulcamara,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,199,3910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cicer arietinum,127,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA
Triticum dicoccoides,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dioscorea cayenensis,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
