species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,9168,1998,63784,2274,3,10,3,7,NA,67,NA,282
Cutibacterium granulosum,7,12,44,78,NA,NA,NA,NA,NA,2,NA,NA
Cutibacterium modestum,3,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Naumannella halotolerans,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. A1-2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,446,20,NA,2,NA,NA,NA,1,NA,1,NA,4
Georgenia sp. TF02-10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium spongiae,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium aurantiacum,2,6,NA,NA,160,23,NA,NA,NA,NA,NA,3
Cellulomonas sp. NS3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,92,42,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,41,12,2,7,NA,NA,NA,1,NA,NA,NA,NA
Corynebacterium kroppenstedtii,17,34,9956,29,NA,2,NA,NA,NA,1,NA,NA
Corynebacterium genitalium,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium appendicis,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,8,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium minutissimum,1,10,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia rubripertincta,90,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Gordonia insulae,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia sp. KTR9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia iterans,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. 20KCMC460,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,16,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium colombiense,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium saskatchewanense,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium litorale,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium sp. TUM20985,2,6,NA,NA,NA,1,NA,NA,1,NA,NA,NA
Mycolicibacterium celeriflavum,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium aurum,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacterium moriokaense,1,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Streptomyces davaonensis,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
