species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12767,2871,77197,3014,7,23,3,7,NA,90,NA,439
Cutibacterium granulosum,8,14,56,119,NA,1,NA,NA,NA,2,NA,NA
Cutibacterium equinum,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA
Microlunatus sagamiharensis,3,66,NA,NA,NA,13,NA,NA,NA,4,NA,NA
Kribbella sp. NBC_00359,99,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00482,2,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00889,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,16,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,88,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides aquaticus,2,43,NA,NA,NA,21,NA,1,NA,NA,NA,NA
Nocardioides sp. InS609-2,1,41,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides bizhenqiangii,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides pantholopis,1,26,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides cynanchi,1,39,NA,1,NA,1,NA,NA,NA,2,NA,NA
Nocardioidaceae bacterium,11,11,NA,1,NA,1,NA,NA,NA,1,NA,NA
Aeromicrobium choanae,2,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. Leaf245,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimelobacter simplex,2,29,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,672,24,NA,5,NA,NA,NA,1,NA,1,NA,6
Arthrobacter sulfonylureivorans,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobacter sp. QXT-31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
Arthrobacter sp. OVS8,1,52,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
Arthrobacter sp. MN05-02,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobacter crystallopoietes,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Paenarthrobacter sp. R1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paeniglutamicibacter sp. Y32M11,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. zg-Y625,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium hydrocarbonoxydans,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium atlanticum,2,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Microbacterium imperiale,2,7,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Microbacterium arborescens,2,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Microbacterium phyllosphaerae,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium esteraromaticum,1,8,NA,NA,NA,1,NA,NA,NA,1,NA,2
Agromyces aureus,2,27,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Agromyces sp. H17E-10,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces flavus,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces larvae,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtobacterium sp. TC1,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA
Curtobacterium sp. 458,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcella sp.,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leifsonia xyli,1,13,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Leucobacter insecticola,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium aurantiacum,5,3,NA,1,93,41,NA,NA,NA,NA,NA,2
Brevibacterium spongiae,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium sp. CBA3109,1,1,NA,NA,247,11,NA,NA,NA,NA,1372,9
Ornithinimicrobium ciconiae,2,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Ornithinimicrobium avium,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serinicoccus hydrothermalis,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occultella kanbiaonis,2,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Ruania zhangjianzhongii,2,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Georgenia sp. TF02-10,2,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Georgenia yuyongxinii,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Allobranchiibius sp. GilTou73,1,8,NA,NA,NA,43,NA,NA,NA,1,NA,NA
Yimella sp. cx-51,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cellulomonas fimi,1,23,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Xylanimonas cellulosilytica,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Janibacter limosus,1,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Pengzhenrongella phosphoraccumulans,1,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,69,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. ITM-2016-00318,1,36,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Mycobacterium sp. DL,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,32,12,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
Mycobacterium mantenii,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium avium,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,19,10,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,17,6,NA,NA,NA,1,NA,NA,NA,2,NA,NA
Mycobacterium europaeum,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium saskatchewanense,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium parmense,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium gallinarum,3,17,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Candidatus Mycobacterium methanotrophicum,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium dioxanotrophicus,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium adipatum,2,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium lacus,1,4,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
Mycolicibacterium mageritense,23,13,NA,NA,NA,1,NA,NA,NA,1,NA,1
Mycolicibacterium novocastrense,11,19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,6,15,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Mycolicibacterium sp. TUM20985,2,25,NA,1,NA,1,NA,NA,1,3,NA,NA
Mycolicibacterium sp. MU0050,1,8,NA,NA,NA,1,NA,NA,NA,NA,NA,1
Mycolicibacterium farcinogenes,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium nivoides,3,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium rhodesiae,2,47,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Mycolicibacterium litorale,2,24,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Mycolicibacterium phlei,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium chubuense,1,19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacterium diernhoferi,1,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Mycolicibacterium fluoranthenivorans,1,14,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Mycolicibacterium hassiacum,1,22,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Mycolicibacterium austroafricanum,7,31,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,165,68,2,32,NA,NA,NA,1,NA,2,NA,NA
Corynebacterium kefirresidentii,27,46,243,9,NA,NA,NA,NA,NA,3,NA,2
Corynebacterium pseudokroppenstedtii,26,7,4352,12,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium genitalium,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium doosanense,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Corynebacterium kroppenstedtii,3,27,6529,19,NA,1,NA,NA,NA,1,NA,NA
Corynebacterium sp. FDAARGOS 1242,2,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium provencense,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium ulcerans,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium striatum,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium matruchotii,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium minutissimum,1,10,NA,4,NA,NA,NA,1,NA,1,NA,NA
Corynebacterium macginleyi,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Corynebacterium confusum,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,55,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Nocardia salmonicida,5,25,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,4,14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardia otitidiscaviarum,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sp. NBC_00416,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia terpenica,1,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardia asteroides,1,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardia huaxiensis,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,18,12,NA,NA,NA,2,NA,NA,NA,NA,NA,2
Rhodococcus qingshengii,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcus sp. P-2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcus sp. USK13,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Rhodococcus sp. B7740,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcus globerulus,1,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Gordonia insulae,11,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Gordonia sp. NB41Y,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia iterans,6,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Tomitella gaofuii,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tsukamurella pulmonis,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,14,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00459,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00457,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. CB01881,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00414,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NL15-2K,3,4,NA,NA,NA,1,NA,NA,NA,NA,1,NA
Streptomyces sp. NBC_01186,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00096,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00829,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00963,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00358,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00996,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00425,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. TLI_053,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01723,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00886,1,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00090,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01426,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01612,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,95,23,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces pristinaespiralis,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces luteogriseus,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces davaonensis,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces globisporus,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces cadmiisoli,1,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Streptomyces aurantiacus,1,7,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Streptomyces collinus,3,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces tsukubensis,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces paludis,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces vilmorinianum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces radiopugnans,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces chartreusis,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitasatospora sp. NBC_01560,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitasatospora purpeofusca,4,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptacidiphilus sp. PB12-B1b,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. 2-15,192,14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. CA-230715,1,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. FDAARGOS 1241,1,6,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Amycolatopsis aidingensis,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis albispora,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saccharothrix espanaensis,1,4,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Saccharopolyspora pogona,1,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Kibdelosporangium phytohabitans,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,41,13,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Micromonospora sp. WMMD998,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora sp. NBC_01699,2,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Micromonospora sp. NBC_01796,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora sp. FIMYZ51,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora craniellae,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phytohabitans suffuscus,3,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Actinoplanes sp. L3-i22,3,14,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Parafrankia sp. EAN1pec,18,14,NA,NA,NA,6,NA,NA,NA,1,NA,NA
Jatrophihabitans sp. GAS493,14,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Actinomadura sp. WMMB 499,3,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Actinomadura verrucosospora,1,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Thermomonospora curvata,1,22,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Sphaerisporangium sp. NBC_01403,1,16,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nonomuraea glycinis,1,19,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Nocardiopsis exhalans,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schaalia cardiffensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinomyces slackii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arcanobacterium wilhelmae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinobaculum sp. 313,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scardovia inopinata,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Bifidobacterium coryneforme,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nakamurella multipartita,1,55,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Natronoglycomyces albus,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,23,14,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Conexibacter sp. S30A1,12,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
Baekduia soli,2,66,NA,NA,NA,3,NA,NA,NA,2,NA,NA
Svornostia abyssi,1,39,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
Acidimicrobiales bacterium,5,41,NA,NA,1,4,NA,NA,NA,NA,NA,NA
uncultured Acidimicrobiales bacterium,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acidimicrobium ferrooxidans,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acidimicrobiia bacterium,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinomycetota bacterium,7,47,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Rubrobacter xylanophilus,6,11,NA,NA,NA,2,NA,NA,2,NA,NA,NA
Eggerthella lenta,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xiamenia xianingshaonis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermophilibacter immobilis,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacillus sp. PPSBB_11,19,NA,NA,NA,3,9,1,NA,NA,NA,1,NA
Bacillus velezensis,1,12,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Geobacillus sp. LC300,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peribacillus frigoritolerans,2,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Pseudalkalibacillus hwajinpoensis,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoxybacillus flavithermus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gottfriedia acidiceleris,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanobacillus sp. FSL K6-2867,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evansella sp. LMS18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virgibacillus necropolis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halobacillus naozhouensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus pedocola,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus sp. FSL F4-0100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus sp. FSL R7-0216,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillus peoriae,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenibacillaceae bacterium GAS479,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cohnella herbarum,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solibacillus sp. FSL W8-0372,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Staphylospora marina,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Listeria innocua,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,54,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Alkalibacterium putridalgicola,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lentilactobacillus parabuchneri,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermocaproicibacter melissae,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faecalibacterium sp. IP-3-29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillospiraceae bacterium,1,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
uncultured Caproiciproducens sp.,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eubacterium limosum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desulfosporosinus orientis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christensenellaceae bacterium,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Candidatus Borkfalkia faecavium,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaerocolumna sp. AGMB13020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erysipelotrichaceae bacterium 66202529,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporomusa termitida,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcoleus vaginatus,56,569,1,NA,NA,NA,NA,NA,NA,2,NA,NA
Oscillatoria nigro-viridis,25,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichocoleus desertorum,33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synechococcus sp. CBW1107,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocoleopsis franciscana,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nostoc commune,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Cylindrospermum stagnale,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
