species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,7152,1666,54064,1715,NA,12,NA,6,NA,51,NA,207
Cutibacterium granulosum,5,9,31,53,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,325,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,71,65,NA,23,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,13,37,8241,26,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egicoccus halophilus,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,8,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,290,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. MC1750,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga sp. RSM25,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,15,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga roseola,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitinophaga horti,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,1878,3687,4904,8404,369,213,415,173,NA,365,92,263
Malassezia restricta,251,254,979,226,NA,NA,NA,NA,NA,NA,NA,22
Penicillium digitatum,7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus chevalieri,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,21,2647,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Dioscorea cayenensis,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
