species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40672,36402,36338,29511,33999,31532,36207
Bacillus velezensis,233,240,124,149,184,36,212
Bacillus amyloliquefaciens,24,7,15,17,18,37,120
Bacillus siamensis,6,NA,NA,NA,3,NA,4
Bacillus subtilis,6252,6893,8384,4877,4744,8019,6080
Bacillus inaquosorum,154,166,137,94,121,95,128
Bacillus vallismortis,138,150,157,73,111,105,118
Bacillus halotolerans,76,80,51,56,45,48,66
Bacillus mojavensis,18,21,16,8,14,16,19
Bacillus stercoris,146,108,140,121,104,91,130
Bacillus atrophaeus,34,30,27,22,22,32,27
Bacillus tequilensis,49,40,60,50,45,33,64
Bacillus licheniformis,40,34,42,38,57,9,71
Bacillus paralicheniformis,2,5,4,NA,7,1,2
Bacillus sp. wens01,22,18,9,14,27,5,46
Bacillus sp. FSL R5-0523,9,3,2,NA,3,7,NA
Bacillus sp. FSL K6-1003,5,NA,NA,NA,NA,2,5
Bacillus sp. DX3.1,2,NA,NA,NA,NA,1,NA
Bacillus sp. FSL R5-0560,5,2,4,3,NA,2,2
Bacillus sp. T3,2,NA,1,NA,1,1,NA
Bacillus sp. PS196,10,13,NA,NA,NA,NA,NA
Bacillus sp. FSL M8-0071,11,28,NA,NA,11,7,NA
Bacillus sp. JS,4,11,6,6,4,11,20
Bacillus sp. MD-5,4,9,6,NA,8,NA,4
Bacillus sp. FSL K6-1012,5,6,NA,6,5,NA,NA
Bacillus sp. OxB-1,1,NA,NA,NA,1,NA,1
Bacillus sp. Y1,1,NA,1,NA,NA,NA,NA
Bacillus sp. DHVB1,2,NA,2,NA,NA,NA,NA
Bacillus sp. NEB1478,1,NA,NA,NA,NA,NA,NA
Bacillus sp. FSL R5-0416,8,11,NA,NA,NA,NA,NA
Bacillus sp. SCS-153A,1,NA,NA,NA,NA,NA,NA
Bacillus sp. YP1,143,NA,NA,NA,NA,NA,191
Bacillus sp. SD-4,9,NA,NA,NA,18,NA,NA
Bacillus rugosus,61,64,59,36,39,48,49
Bacillus cabrialesii,40,31,33,17,28,32,34
Bacillus mycoides,3,1,1,3,NA,1,2
Bacillus cereus,9,5,9,613,224,NA,NA
Bacillus albus,5,NA,NA,NA,NA,NA,NA
Bacillus thuringiensis,3,20,NA,NA,3,2,NA
uncultured Bacillus sp.,8,NA,NA,NA,NA,9,NA
Bacillus fonticola,3,1,NA,1,2,NA,NA
Bacillus pumilus,4,6,4,NA,3,2,6
Bacillus safensis,3,3,5,NA,3,2,3
Bacillus swezeyi,1,1,1,1,1,2,1
Bacillus smithii,1,NA,NA,NA,NA,NA,NA
Priestia megaterium,2,NA,2,4,2,2,4
Priestia aryabhattai,1,1,NA,NA,NA,NA,NA
Priestia koreensis,1,NA,NA,NA,NA,NA,1
Heyndrickxia coagulans,2,NA,NA,NA,2,NA,NA
