species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,8359,1756,59183,1919,1,8,1,7,NA,63,NA,259
Cutibacterium granulosum,6,7,39,68,NA,NA,NA,NA,NA,1,NA,NA
Cutibacterium modestum,2,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. InS609-2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. A1-2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,87,32,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,43,7,1,4,NA,NA,NA,1,NA,NA,NA,NA
Corynebacterium kefirresidentii,7,29,154,7,NA,NA,NA,NA,NA,1,NA,NA
Corynebacterium kroppenstedtii,5,28,8913,22,NA,NA,NA,NA,NA,1,NA,NA
Corynebacterium genitalium,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium appendicis,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium minutissimum,1,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia terpenica,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Mycobacterium sp. SMC-2,38,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. 20KCMC460,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. M23085,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium basiliense,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium litorale,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium sp. TUM20985,3,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA
Mycolicibacterium diernhoferi,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium moriokaense,3,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Mycolicibacterium celeriflavum,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium aurum,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia iterans,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,290,11,NA,2,NA,NA,NA,1,NA,1,NA,3
Brevibacterium aurantiacum,2,NA,NA,NA,186,29,NA,NA,NA,NA,NA,NA
Georgenia sp. TF02-10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serinicoccus hydrothermalis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudactinotalea sp. HY158,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces sp. CB01881,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01213,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. CB09030,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00513,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces ambofaciens,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitasatospora cathayae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinacidiphila bryophytorum,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonospora aurantiaca,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantactinospora sp. ZYX-F-223,1,7,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Sphaerisporangium sp. NBC_01403,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,2,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Thermophilibacter mediterraneus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,42,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metabacillus halosaccharovorans,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanobacillus sp. FSL K6-2867,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoxybacillus sp. PDR2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacillus brevis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
[Ruminococcus] torques,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaerocolumna sp. AGMB13020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,13,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,378,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. NLF5-7,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycoavidus cysteinexigens,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkholderia dolosa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraburkholderia terricola,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA
Eleftheria terrae,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobacter sp. AJA081-3,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uncultured Rhodoferax sp.,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodoferax sediminis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramlibacter tataouinensis,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Pseudoduganella flava,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Telluria beijingensis,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Massilia endophytica,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sulfuritortus calidifontis,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,140,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. 4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CCBAU 51753,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. 170,1,33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium diazoefficiens,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium icense,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium roseum,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodopseudomonas palustris,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrobacter hamburgensis,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga sp. RSM25,99,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,16,47,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Rhizobium phaseoli,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium etli,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrobacterium tumefaciens,4,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Pseudolabrys taiwanensis,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomicrobium lacus,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Methylocella tundrae,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphingomonas sp. PAMC26645,8,6,NA,NA,NA,3,NA,NA,NA,6,NA,NA
Sphingorhabdus lacus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caulobacter sp. 73W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paremcibacter congregatus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. Z003-0.4C(8344-21),15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas plecoglossicida,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas oryzihabitans,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Moraxella sp. K02,22,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter venetianus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter indicus,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,23,6,3,4,28,7,1,NA,NA,2,46,1
Vreelandella subglaciescola,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyella caseinilytica,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Luteibacter aegosomaticola,7,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Pseudolysobacter antarcticus,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Franconibacter daqui,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raoultella terrigena,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shewanella oneidensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catenovulum sediminis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aequoribacter fuscus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteolibacter sp. LG18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Planctomyces sp. SH-PL14,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Candidatus Protochlamydia amoebophila,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitinophaga horti,14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Chitinophaga caeni,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenobacter sp. BRD67,2,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
Echinicola strongylocentroti,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phocaeicola dorei,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winogradskyella sediminis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteitalea pratensis,7,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunturibacter gelidoferens,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Sorangium cellulosum,1,18,NA,NA,52,1,NA,NA,NA,NA,NA,NA
Deinococcus deserti,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,2178,4362,5711,9670,679,342,558,221,10,471,136,368
Malassezia restricta,249,285,1132,285,NA,1,NA,3,NA,3,NA,34
Sporisorium graminicola,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus chevalieri,13,3,NA,2,NA,NA,NA,NA,NA,NA,NA,4
Penicillium digitatum,7,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium oxalicum,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichoderma asperellum,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletotrichum lupini,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Botrytis cinerea,1,6,NA,NA,NA,2,NA,NA,NA,NA,6,NA
Kluyveromyces marxianus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triticum dicoccoides,121,13,4,107,NA,4,NA,9,NA,15,NA,4
Triticum urartu,1,8,NA,NA,1,1,NA,NA,NA,NA,NA,NA
Hordeum vulgare,2,15,NA,1,5,5,NA,1,NA,NA,NA,NA
Lolium rigidum,1,16,NA,2,NA,6,NA,NA,1,47,NA,NA
Sorghum bicolor,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Setaria viridis,6,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
Phragmites australis,1,5,NA,2,NA,1,7,NA,NA,NA,NA,NA
Zingiber officinale,14,15,NA,NA,1,4,NA,NA,NA,1,NA,NA
Musa acuminata,1,7,NA,5,1,NA,NA,NA,NA,1,4,NA
Asparagus officinalis,1,5,NA,NA,NA,3,NA,NA,NA,NA,NA,1
Citrus sinensis,40,2952,NA,5,NA,1,NA,NA,NA,NA,NA,NA
Camelina sativa,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Vicia villosa,2,14,NA,NA,1,4,5,NA,NA,3,NA,NA
Pisum sativum,1,13,7,NA,26,5,40898,4914,NA,NA,NA,NA
Lotus japonicus,1,1,NA,NA,1,2,1,NA,NA,NA,NA,NA
Arachis hypogaea,2,13,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
Prunus persica,3,11,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
Rosa rugosa,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Argentina anserina,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Corylus avellana,2,253,NA,10,47,46,NA,3,NA,27,NA,3
Alnus glutinosa,1,180,NA,8,50,83,NA,NA,1,9,NA,NA
Carya illinoinensis,1,15,NA,NA,NA,6,NA,NA,5,NA,NA,NA
Populus trichocarpa,2,61,NA,9,NA,8,NA,NA,NA,1,NA,NA
Manihot esculenta,1,3,NA,NA,3,2,NA,NA,10,NA,NA,NA
Cucumis sativus,1,8,NA,4,NA,1,NA,NA,NA,1,NA,NA
Cucumis melo,1,4,NA,NA,NA,4,NA,1,1,NA,NA,NA
Solanum dulcamara,2,10,NA,1,NA,3,NA,NA,NA,2,NA,NA
Solanum stenotomum,1,6,NA,1,NA,6,NA,9,NA,NA,NA,NA
Lycium barbarum,1,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA
Capsicum annuum,1,15,1,NA,NA,8,NA,1,6,NA,2,NA
Nicotiana tomentosiformis,2,10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Nicotiana sylvestris,1,6,NA,NA,NA,4,5,NA,NA,NA,1,NA
Helianthus annuus,7,8,NA,NA,1,3,NA,NA,NA,NA,NA,NA
Cynara cardunculus,1,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Beta vulgaris,6,3,NA,NA,1,1,NA,NA,NA,1,NA,NA
