species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12500,2707,77810,3073,5,34,NA,8,NA,102,NA,434
Cutibacterium granulosum,8,14,57,123,NA,NA,NA,NA,NA,NA,NA,NA
Arachnia propionica,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,143,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,40,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,94,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. CTD01-1L150,72,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,695,27,NA,6,NA,NA,NA,NA,NA,NA,NA,6
Microbacterium sp. che218,88,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium marinum,11,8,NA,NA,NA,NA,NA,NA,76,NA,NA,NA
Agromyces aureus,56,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces sp. MMS24-JH15,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrococcus sp. Marseille-Q4369,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kytococcus sedentarius,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruania zhangjianzhongii,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,49,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,18,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteroides abscessus,56,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,33,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,26,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,168,104,5,46,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,57,20,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,27,52,13147,48,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium genitalium,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,59,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia salmonicida,25,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia nova,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcus sp. P-2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia insulae,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00287,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01167,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SCSIO ZS0520,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00457,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces anthocyanicus,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,92,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces yatensis,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces lavendulae,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces luteogriseus,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces xanthii,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
