species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,8369,2333,59184,1929,NA,NA,NA,NA,NA,102,NA,264
Corynebacterium tuberculostearicum,91,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,13,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,416,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodopseudomonas palustris,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrobacter hamburgensis,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga sp. RSM25,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,17,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,23,NA,NA,NA,28,NA,NA,NA,NA,NA,46,NA
Luteolibacter sp. LG18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Planctomyces sp. SH-PL14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitinophaga horti,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,2179,4406,5711,9672,679,359,558,222,10,473,136,370
Malassezia restricta,249,285,1132,285,NA,NA,NA,NA,NA,NA,NA,34
Aspergillus chevalieri,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triticum dicoccoides,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zingiber officinale,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,42,3013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magnolia sinica,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
