species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12515,3185,77811,3075,NA,NA,NA,NA,NA,159,NA,438
Kribbella sp. NBC_00359,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. CTD01-1L150,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,700,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. che218,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces aureus,59,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteroides abscessus,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,170,165,NA,51,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,28,71,13148,51,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces anthocyanicus,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,93,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces yatensis,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hymeniacidonis,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jiangella alkaliphila,20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conexibacter sp. S30A1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,51,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
