"name"	"taxRank"	"taxID"	"Max"	"ZC1_S4.cladeReads"	"ZC2_S5.cladeReads"	"ZC3_S6.cladeReads"	"ZC4_S7.cladeReads"	"ZP1_S20.cladeReads"	"ZP2_S21.cladeReads"	"ZP3_S22.cladeReads"	"lineage"
"root><wbr>...><wbr>Bacillus spizizenii"	"S"	96241	27472	27472	20109	22560	16377	21391	18728	21046	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus subtilis"	"S"	1423	1898	1258	1898	998	827	634	1466	688	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus inaquosorum"	"S"	483913	68	68	43	56	42	60	35	53	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus vallismortis"	"S"	72361	47	47	36	33	17	43	25	44	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus stercoris"	"S"	2054641	122	121	NA	122	NA	103	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus rugosus"	"S"	2715209	35	31	NA	35	NA	22	24	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus"
"root><wbr>...><wbr>Bacillus cabrialesii"	"S"	2487276	23	23	NA	20	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus"
"root><wbr>...><wbr>Staphylococcus aureus"	"S"	1280	21754	15816	11010	15099	12933	21754	20859	21114	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus argenteus"	"S"	985002	18	18	NA	14	NA	17	13	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Listeria monocytogenes"	"S"	1639	21954	15043	10519	14166	13893	21954	20432	21110	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria innocua"	"S"	1642	87	53	46	87	46	42	84	71	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Enterococcus faecalis"	"S"	1351	22026	22026	15861	20981	16311	21151	20392	20947	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"root><wbr>...><wbr>Limosilactobacillus fermentum"	"S"	1613	15576	10862	7036	8851	10520	15430	13390	15576	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Limosilactobacillus"
"root><wbr>...><wbr>Actinomyces oris"	"S"	544580	24	24	12	17	NA	19	13	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Actinomyces"
"root><wbr>...><wbr>Salmonella enterica"	"S"	28901	37673	37673	27279	27856	20613	26988	24243	27446	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Salmonella bongori"	"S"	54736	20	20	NA	15	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Escherichia coli"	"S"	562	21232	21232	20575	16641	12304	15012	12095	14165	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia albertii"	"S"	208962	20	20	15	16	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Shigella flexneri"	"S"	623	2579	2579	NA	1578	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Shigella dysenteriae"	"S"	622	108	108	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Pseudomonas aeruginosa"	"S"	287	15694	13767	11888	8952	8617	14825	12292	15694	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group"
"root><wbr>...><wbr>Pseudomonas sp. CIP-10"	"S"	2892442	361	361	NA	219	210	143	NA	131	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"root><wbr>...><wbr>Burkholderia multivorans"	"S"	87883	16	16	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>Burkholderia&nbsp;cepacia&nbsp;complex"
"root><wbr>...><wbr>Homo sapiens"	"S"	9606	41	27	20	21	24	38	34	41	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae>Homo"
"root><wbr>...><wbr>Neptuniibacter halophilus"	"S"	651666	55	NA	27	NA	55	10	NA	14	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae>Neptuniibacter"
"root><wbr>...><wbr>Bacillus atrophaeus"	"S"	1452	12	NA	NA	12	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Listeria swaminathanii"	"S"	2713501	25	NA	NA	25	15	21	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria welshimeri"	"S"	1643	16	NA	NA	NA	NA	13	NA	16	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Staphylococcus saprophyticus"	"S"	29385	23	NA	NA	NA	NA	18	23	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
