species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,8366,2040,59184,1926,NA,14,NA,7,NA,94,NA,262
Cutibacterium granulosum,6,9,39,68,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,89,58,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,7,44,154,8,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. 20KCMC460,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium litorale,11,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,290,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. CB01881,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
[Ruminococcus] torques,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,13,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,410,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycoavidus cysteinexigens,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleftheria terrae,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodopseudomonas palustris,16,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrobacter hamburgensis,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga sp. RSM25,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,17,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphingomonas sp. PAMC26645,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,23,10,NA,NA,28,32,NA,NA,NA,NA,46,NA
Moraxella sp. K02,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. Z003-0.4C(8344-21),17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteolibacter sp. LG18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Planctomyces sp. SH-PL14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitinophaga horti,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteitalea pratensis,8,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deinococcus deserti,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,2179,4395,5711,9671,679,355,558,222,10,472,136,369
Malassezia restricta,249,285,1132,285,NA,NA,NA,NA,NA,NA,NA,34
Aspergillus chevalieri,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium digitatum,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triticum dicoccoides,121,16,NA,113,NA,NA,NA,NA,NA,NA,NA,NA
Sorghum bicolor,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zingiber officinale,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,41,2980,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
Helianthus annuus,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beta vulgaris,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magnolia sinica,32,8,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
