species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cavia porcellus,423,483,800,889,261,58,20,31,NA,38,23,42
Cricetulus griseus,232,185,286,193,16,57,20,10,NA,15,NA,NA
Mus musculus,36,123,31,134,11,44,15,10,12,NA,10,NA
Oryctolagus cuniculus,18,249,913,309,17,83,34,31,NA,30,31,46
Equus caballus,73,338,260,708,72,77,12,26,17,45,57,28
Sus scrofa,36,240,32,287,13,80,16,13,NA,17,14,20
Bos taurus,34,236,74,264,19,72,12,15,NA,13,18,NA
Canis lupus,36,249,97,355,10,139,18,18,NA,20,33,NA
Felis catus,29,747,95,380,NA,47,35,16,NA,NA,29,16
Gallus gallus,23,46,NA,18,NA,24,NA,NA,NA,NA,NA,NA
