species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,13314,3545,78905,3086,NA,NA,NA,NA,NA,195,NA,463
Propionimicrobium sp. PCR01-08-3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,701,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces aureus,104,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrococcus sp. Marseille-Q4369,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salinibacterium hongtaonis,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00525,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces pristinaespiralis,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,169,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteroides abscessus,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,188,102,NA,44,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,31,74,252,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia salmonicida,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. 2-15,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hymeniacidonis,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jiangella alkaliphila,52,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capillimicrobium parvum,68,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conexibacter sp. S30A1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcoleus vaginatus,64,769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,27,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichocoleus desertorum,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nostoc sp. MS1,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ureibacillus thermophilus,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaerocolumna sp. AGMB13020,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erysipelotrichaceae bacterium,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escherichia coli,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klebsiella aerogenes,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klebsiella variicola,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dickeya fangzhongdai,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
