species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12528,2978,76317,2990,6,44,NA,8,NA,105,NA,431
Cutibacterium granulosum,8,14,56,116,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,64,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,65,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioidaceae bacterium,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,676,25,NA,5,NA,NA,NA,NA,NA,NA,NA,6
Arthrobacter sulfonylureivorans,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,165,75,NA,34,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,27,51,241,10,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium pseudokroppenstedtii,27,8,4244,13,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium genitalium,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,22,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium novocastrense,14,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
