species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,9798,2382,67148,2467,NA,17,NA,9,NA,85,NA,323
Cutibacterium granulosum,7,15,49,88,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,482,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,105,83,NA,35,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,47,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,18,55,10579,41,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia rubripertincta,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia insulae,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. 20KCMC460,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium litorale,9,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. CB01881,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces davaonensis,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egicoccus halophilus,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermophilibacter mediterraneus,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
[Ruminococcus] torques,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,24,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escherichia coli,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. MC1750,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,21,10,NA,NA,28,NA,5,NA,NA,NA,40,NA
Pseudomonas sp. Z003-0.4C(8344-21),18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferrimonas sp. YFM,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,421,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
