species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,6450,1522,50256,1551,NA,NA,NA,6,NA,58,NA,180
Cutibacterium granulosum,5,9,27,47,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,285,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,64,57,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,13,28,7528,22,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egicoccus halophilus,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,5,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,251,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. MC1750,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,12,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,1672,3253,4357,7453,320,193,379,162,NA,319,74,236
Malassezia restricta,233,225,864,201,NA,NA,NA,NA,NA,NA,NA,21
Penicillium digitatum,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,16,2380,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
