species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12120,2564,75953,2992,5,17,3,7,NA,87,NA,412
Cutibacterium granulosum,8,13,57,115,NA,1,NA,NA,NA,2,NA,NA
Cutibacterium equinum,1,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Naumannella halotolerans,3,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Microlunatus sagamiharensis,3,63,NA,NA,NA,13,NA,NA,NA,4,NA,NA
Kribbella sp. NBC_00359,60,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00482,2,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00889,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,38,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,58,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. NBC_00163,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. InS609-2,1,35,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Nocardioides aquaticus,2,47,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
Nocardioides cynanchi,1,36,NA,1,NA,1,NA,NA,NA,2,NA,NA
Aeromicrobium sp. CTD01-1L150,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. Leaf245,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium choanae,1,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Pimelobacter simplex,2,34,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mumia sp. Pv 4-285,1,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,673,25,NA,5,NA,1,NA,1,NA,1,NA,6
Arthrobacter sulfonylureivorans,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobacter sp. NicSoilB4,1,45,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Arthrobacter sp. UC242_113,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudarthrobacter psychrotolerans,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
Microbacterium sp. che218,76,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. zg-Y625,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. zg-B185,1,16,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Microbacterium arborescens,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium esteraromaticum,1,2,NA,NA,NA,1,NA,NA,NA,1,NA,1
Agromyces sp. MMS24-JH15,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces sp. H17E-10,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces badenianii,2,15,NA,NA,2,2,NA,NA,NA,NA,NA,NA
Agromyces larvae,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtobacterium sp. L1-20,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryobacterium sp. LW097,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Microcella sp.,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leifsonia xyli,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucobacter insecticola,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kytococcus sedentarius,16,6,NA,1,NA,1,NA,NA,NA,NA,NA,NA
Ruania zhangjianzhongii,8,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Occultella kanbiaonis,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium aurantiacum,3,3,NA,1,118,38,NA,NA,NA,NA,NA,2
Brevibacterium spongiae,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium sp. BDJS002,1,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,3
Brevibacterium koreense,1,1,NA,NA,261,11,NA,NA,NA,NA,1203,9
Brevibacterium linens,1,15,NA,NA,36,1,NA,NA,NA,NA,NA,NA
Allobranchiibius sp. GilTou73,1,6,NA,NA,NA,43,NA,NA,NA,1,NA,NA
