#0	../exposure_folder/processed_data/metagenomic/bracken/D1RP_S9.bracken (27047 reads)
#1	../exposure_folder/processed_data/metagenomic/bracken/D1SG_S1.bracken (50868 reads)
#2	../exposure_folder/processed_data/metagenomic/bracken/D2RP_S10.bracken (104476 reads)
#3	../exposure_folder/processed_data/metagenomic/bracken/D2SG_S2.bracken (23108 reads)
#4	../exposure_folder/processed_data/metagenomic/bracken/L1RP_S13.bracken (7225 reads)
#5	../exposure_folder/processed_data/metagenomic/bracken/L1SG_S5.bracken (6401 reads)
#6	../exposure_folder/processed_data/metagenomic/bracken/L2RP_S14.bracken (32975 reads)
#7	../exposure_folder/processed_data/metagenomic/bracken/L2SG_S6.bracken (1130 reads)
#8	../exposure_folder/processed_data/metagenomic/bracken/S1RP_S11.bracken (3006 reads)
#9	../exposure_folder/processed_data/metagenomic/bracken/S1SG_S3.bracken (2394 reads)
#10	../exposure_folder/processed_data/metagenomic/bracken/S2RP_S12.bracken (174738 reads)
#11	../exposure_folder/processed_data/metagenomic/bracken/S2SG_S4.bracken (3914 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11
0	0.000	0.743	0.744	0.701	0.845	0.899	0.965	0.962	0.990	0.922	0.995	0.927
1	x.xxx	0.000	0.856	0.656	0.888	0.828	0.971	0.962	0.989	0.919	0.992	0.936
2	x.xxx	x.xxx	0.000	0.747	0.957	0.982	0.985	0.990	0.998	0.982	0.996	0.980
3	x.xxx	x.xxx	x.xxx	0.000	0.837	0.897	0.961	0.933	0.989	0.894	0.993	0.890
4	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.815	0.947	0.885	0.975	0.817	0.991	0.881
5	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.949	0.785	0.967	0.668	0.993	0.789
6	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.971	0.987	0.950	0.995	0.964
7	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.925	0.625	0.995	0.713
8	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.940	0.999	0.957
9	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.994	0.683
10	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.977
11	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000
