species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12651,2698,78429,3078,5,32,NA,9,NA,103,NA,436
Cutibacterium granulosum,8,14,57,124,NA,NA,NA,NA,NA,NA,NA,NA
Arachnia propionica,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. CTD01-1L150,104,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,96,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,157,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,41,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,704,28,NA,6,NA,NA,NA,NA,NA,NA,NA,6
Citricoccus sp. I39-566,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glutamicibacter endophyticus,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. che218,88,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium marinum,19,7,NA,NA,NA,NA,NA,NA,112,NA,NA,NA
Microbacterium atlanticum,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium esteraromaticum,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces aureus,96,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces sp. MMS24-JH15,21,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrococcus sp. Marseille-Q4369,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgenia sp. TF02-10,21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kytococcus sedentarius,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruania zhangjianzhongii,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,94,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. 20KCMC460,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,46,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,32,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,29,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,18,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacteroides abscessus,134,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium austroafricanum,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium parafortuitum,6,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium litorale,7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,32,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,169,84,5,46,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,61,18,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,26,49,13263,48,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium genitalium,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,55,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia salmonicida,32,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sp. NBC_00511,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia nova,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcus sp. P-2,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodococcoides fascians,18,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia insulae,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01167,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00287,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SCSIO ZS0520,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00385,10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01351,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00457,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. TLI_053,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces yatensis,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,143,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces anthocyanicus,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces lavendulae,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces luteogriseus,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
