species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12567,3285,76326,2994,NA,NA,NA,NA,NA,158,NA,435
Nocardioides houyundeii,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,678,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,176,99,NA,52,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,30,70,241,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. 2-15,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcoleus vaginatus,51,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,25,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichocoleus desertorum,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas yindakuii,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. R10,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
