species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,9172,2462,63784,2282,NA,NA,NA,NA,NA,105,NA,286
Rothia mucilaginosa,448,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,17,57,9957,64,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia rubripertincta,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egicoccus halophilus,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,19,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,401,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escherichia coli,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. MC1750,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
Microvirga sp. RSM25,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,33,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga roseola,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium leguminosarum,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stieleria marina,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitinophaga horti,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,2836,5207,7389,11746,854,400,617,258,NA,555,133,405
Malassezia restricta,300,353,1315,346,NA,NA,NA,NA,NA,NA,NA,37
Aspergillus chevalieri,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum dulcamara,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,124,3577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cicer arietinum,61,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA
Triticum dicoccoides,62,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA
Dioscorea cayenensis,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
