species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,38708,33432,33588,26667,32018,30613,32796
Bacillus velezensis,211,170,80,128,153,68,192
Bacillus amyloliquefaciens,55,17,24,19,30,84,369
Bacillus siamensis,6,NA,NA,NA,3,NA,NA
Bacillus subtilis,5073,5285,7302,3931,3887,4381,4554
Bacillus vallismortis,121,133,142,63,101,93,104
Bacillus inaquosorum,128,135,121,82,105,86,104
Bacillus halotolerans,60,64,47,54,38,58,64
Bacillus mojavensis,17,19,13,8,11,20,15
Bacillus stercoris,129,86,113,83,94,121,110
Bacillus tequilensis,41,33,46,45,37,30,53
Bacillus atrophaeus,28,28,24,18,20,24,24
Bacillus licheniformis,37,31,29,35,43,15,46
Bacillus paralicheniformis,2,5,2,NA,7,2,2
Bacillus sp. wens01,25,17,8,4,24,8,38
Bacillus sp. PPSBB_11,41,151,23,58,427,77,38
Bacillus sp. FSL R5-0523,5,3,2,NA,3,10,NA
Bacillus sp. T3,2,NA,1,NA,1,1,NA
Bacillus sp. PS196,19,11,NA,NA,NA,NA,NA
Bacillus sp. FSL R5-0560,5,2,1,3,NA,2,NA
Bacillus sp. FSL K6-1003,2,NA,NA,NA,NA,2,2
Bacillus sp. NEB1478,1,NA,NA,NA,NA,NA,NA
Bacillus sp. MD-5,4,4,5,NA,8,NA,4
Bacillus sp. SD-4,7,NA,NA,NA,17,NA,NA
Bacillus sp. DX3.1,1,NA,NA,NA,NA,1,NA
Bacillus sp. OxB-1,1,NA,NA,NA,1,NA,1
Bacillus sp. Y1,1,NA,1,NA,NA,NA,NA
Bacillus sp. YP1,134,NA,NA,NA,NA,NA,170
Bacillus sp. JS,4,9,6,NA,4,15,13
Bacillus sp. FSL M8-0071,10,26,NA,NA,12,13,NA
Bacillus sp. DHVB1,1,NA,1,NA,NA,NA,NA
Bacillus sp. FSL R5-0416,8,10,NA,NA,NA,NA,NA
Bacillus sp. FSL K6-1012,5,5,NA,6,5,NA,NA
Bacillus rugosus,55,51,48,27,32,46,40
Bacillus cabrialesii,35,28,27,13,27,27,26
Bacillus thuringiensis,4,3,NA,NA,3,3,NA
Bacillus cereus,8,4,4,518,202,NA,NA
Bacillus albus,5,NA,NA,NA,NA,NA,NA
Bacillus mycoides,1,1,NA,3,NA,NA,2
uncultured Bacillus sp.,6,NA,NA,NA,NA,8,NA
Bacillus pumilus,4,4,2,NA,3,1,4
Bacillus fonticola,2,NA,NA,1,2,NA,NA
Bacillus safensis,2,3,4,NA,NA,NA,3
Priestia megaterium,2,NA,1,2,1,2,4
Priestia aryabhattai,1,1,NA,NA,NA,NA,NA
Priestia koreensis,1,NA,NA,NA,NA,NA,1
Heyndrickxia coagulans,2,NA,NA,NA,1,NA,NA
Psychrobacillus sp. FSL H8-0483,1,NA,NA,NA,NA,NA,NA
Psychrobacillus glaciei,1,1,NA,NA,1,1,NA
Metabacillus endolithicus,2,NA,NA,1,NA,NA,NA
Rossellomorea marisflavi,1,NA,NA,NA,NA,NA,NA
Niallia circulans,1,NA,NA,NA,NA,NA,NA
Halalkalibacter krulwichiae,1,NA,NA,NA,NA,NA,1
Ornithinibacillus sp. FSL M8-0202,1,NA,NA,NA,1,1,NA
Mesobacillus jeotgali,1,NA,NA,NA,NA,NA,NA
Ectobacillus sp. JY-23,1,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,26460,19344,25344,23989,36746,37559,38026
Staphylococcus argenteus,18,16,28,28,30,36,21
Staphylococcus schweitzeri,15,13,20,9,22,34,24
Staphylococcus saprophyticus,13,6,15,9,26,27,14
Staphylococcus epidermidis,9,7,7,4,18,14,9
Staphylococcus simiae,8,5,5,4,12,8,12
Staphylococcus pseudintermedius,7,11,7,5,14,21,12
Staphylococcus hominis,6,2,1,3,3,4,6
Staphylococcus saccharolyticus,5,4,7,3,3,3,2
Staphylococcus warneri,5,2,2,NA,2,3,3
Staphylococcus sp. IVB6181,4,NA,3,NA,2,NA,NA
Staphylococcus lugdunensis,4,2,NA,1,6,1,5
Staphylococcus taiwanensis,3,NA,NA,2,2,3,3
Staphylococcus edaphicus,3,NA,3,2,1,NA,1
Staphylococcus simulans,3,3,NA,1,NA,3,3
Staphylococcus haemolyticus,2,4,4,4,5,3,5
Staphylococcus ratti,2,1,1,1,NA,NA,1
Staphylococcus arlettae,2,2,2,1,5,4,3
Staphylococcus lloydii,2,1,1,1,NA,NA,2
Staphylococcus capitis,2,3,9,5,5,10,1
Staphylococcus devriesei,2,2,2,1,2,4,1
Staphylococcus equorum,1,NA,NA,2,2,2,NA
Staphylococcus casei,1,1,2,NA,2,NA,NA
Staphylococcus hsinchuensis,1,NA,NA,2,2,3,3
Staphylococcus xylosus,1,NA,NA,1,1,NA,1
Staphylococcus shinii,1,1,1,NA,NA,2,NA
Staphylococcus agnetis,1,2,1,1,2,NA,NA
Staphylococcus schleiferi,1,NA,NA,NA,NA,NA,NA
Staphylococcus debuckii,1,NA,NA,NA,NA,1,NA
Staphylococcus chromogenes,1,1,4,1,4,5,1
Staphylococcus pasteuri,1,3,4,2,7,15,6
Staphylococcus caprae,1,3,1,2,4,4,NA
Mammaliicoccus sp. Marseille-Q6498,2,1,NA,NA,NA,NA,NA
Nosocomiicoccus ampullae,1,NA,NA,NA,NA,NA,NA
Listeria monocytogenes,22863,18659,22537,24935,35120,35285,37101
Listeria innocua,148,103,155,138,196,199,184
Listeria welshimeri,50,28,46,27,59,50,49
Listeria swaminathanii,46,29,65,63,76,57,56
Listeria seeligeri,23,15,25,20,35,38,22
Listeria ivanovii,20,16,22,26,45,40,39
uncultured Listeria sp.,3,NA,NA,NA,NA,NA,NA
Listeria weihenstephanensis,3,2,5,NA,5,2,5
Listeria grayi,3,NA,NA,1,2,3,NA
Listeria newyorkensis,1,3,3,1,3,2,1
Paenibacillus sp. FSL W8-0194,11,12,7,4,3,4,7
Paenibacillus mucilaginosus,1,NA,NA,NA,NA,1,NA
Brevibacillus laterosporus,2,NA,NA,NA,NA,NA,NA
Cohnella abietis,1,NA,NA,NA,NA,NA,NA
Paenisporosarcina macmurdoensis,10,NA,NA,NA,NA,NA,NA
Sporosarcina sp. Te-1,1,NA,NA,1,NA,NA,NA
Pasteuria ramosa,1,NA,NA,NA,NA,NA,NA
Enterococcus faecalis,33185,27619,35777,29559,34422,34829,36578
Enterococcus sp. 9D6_DIV0238,7,8,5,4,5,6,9
Enterococcus sp. DIV1094,4,1,NA,1,NA,5,3
Enterococcus sp. 12C11_DIV0727,2,NA,NA,1,NA,1,1
Enterococcus sp. 7F3_DIV0205,2,1,2,2,2,1,3
Enterococcus sp. 9E7_DIV0242,2,NA,NA,NA,NA,NA,NA
Enterococcus sp. DA9,27,NA,21,NA,46,NA,32
Enterococcus sp. PLM3,14,NA,11,54,NA,17,17
Enterococcus sp. DIV2402,1,2,4,2,1,4,1
Enterococcus sp. DIV0849a,1,1,2,1,NA,NA,1
Enterococcus silesiacus,8,1,2,5,3,4,3
Enterococcus rotai,7,NA,3,NA,3,2,6
Enterococcus faecium,7,8,60,38,32,36,58
Enterococcus durans,4,1,8,3,9,2,5
Enterococcus dispar,3,4,4,1,2,1,3
Enterococcus cecorum,3,2,1,5,NA,3,3
uncultured Enterococcus sp.,2,5,1,4,3,2,5
Enterococcus avium,2,1,1,NA,NA,NA,1
Enterococcus gilvus,1,1,NA,NA,NA,NA,1
Enterococcus raffinosus,1,5,2,4,2,2,4
Enterococcus mundtii,1,2,2,NA,2,4,2
Enterococcus saccharolyticus,1,3,2,1,1,1,2
Enterococcus casseliflavus,1,NA,2,NA,2,2,2
Vagococcus carniphilus,3,NA,2,1,NA,NA,1
Vagococcus xieshaowenii,1,NA,NA,NA,NA,NA,NA
Vagococcus jeotgali,1,NA,1,1,NA,NA,NA
