species,A01_S1,A02_S2,A03_S3,A04_S4,A05_S5,A06_S6,A07_S7,A08_S8,A09_S9,A10_S10,A11_S11,A12_S12,B01_S13,B02_S14,B03_S15,B04_S16,B05_S17,B06_S18,B07_S19,B08_S20,B09_S21,B10_S22,B11_S23,B12_S24,Blank_S38,C01_S25,C02_S26,C03_S27,C04_S28,C05_S29,C06_S30,C07_S31,C08_S32,C09_S33,C10_S34,C11_S35,C12_S36,ENC_S37
Homo sapiens,160790,105043,249532,276794,226892,122683,125931,223421,138406,131111,30163,285905,150059,113009,128644,92557,379957,138434,216161,152551,1634310,93561,244758,179827,1218,39230,113227,14313,16832,189041,103491,47375,262958,32576,33421,713,63382,1577
Malassezia restricta,589,769,4058,2848,5236,2443,1301,3294,1274,4615,1202,8873,6920,14669,9872,8735,18589,13922,21870,15816,126976,8634,12103,7561,NA,717,1104,320,767,1970,3657,529,3100,973,1091,NA,2368,NA
Musa acuminata,52,317,108,NA,NA,314,708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,3275,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. J380,8350,11013,1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. MYb193,1588,2306,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. FJ2-5-13,219,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. PP3,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. FDAARGOS_380,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,5801,9116,1195,335,NA,NA,448,169,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas oryzihabitans,127,86,107,567,237,476,137,1267,120,95,246,1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas putida,1797,140,NA,287,NA,NA,1268,8687,618,383,NA,NA,150,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas synxantha,194,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas salmasensis,215,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas lactis,104,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectopseudomonas oleovorans,227,10153,137,316,286,100,NA,NA,NA,558,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,139,92,NA,NA,NA,NA,NA,NA,235,115,NA,NA,NA
Acinetobacter baumannii,2902,20310,314,NA,NA,NA,1215,1290,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA,393,NA,NA,NA,NA,NA,NA,NA,180,NA,221,NA,NA,NA,NA,NA,NA,NA
Acinetobacter johnsonii,1155,11400,1412,750,927,392,1892,6143,397,2137,786,3093,58,NA,NA,NA,NA,NA,209,NA,265,NA,145,NA,NA,107,245,NA,NA,NA,NA,177,184,122,439,NA,201,NA
