species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,13227,2929,78891,3067,6,22,3,7,NA,92,NA,450
Cutibacterium granulosum,8,14,56,123,NA,1,NA,NA,NA,2,NA,NA
Cutibacterium equinum,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,3,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Propionimicrobium sp. PCR01-08-3,48,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arachnia propionica,12,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Microlunatus sagamiharensis,3,81,NA,NA,NA,15,NA,NA,NA,6,NA,NA
Microlunatus elymi,1,17,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Acidipropionibacterium jensenii,1,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Auraticoccus monumenti,1,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Raineyella fluvialis,1,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,160,24,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00482,3,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00889,3,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,1,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,103,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. InS609-2,1,49,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides sp. TF02-7,1,36,NA,NA,NA,2,NA,1,NA,NA,NA,NA
Nocardioides sp. NBC_00850,1,26,NA,NA,NA,3,NA,1,NA,1,NA,NA
Nocardioides sp. JQ2195,1,27,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Nocardioides sp. LMS-CY,1,80,NA,1,NA,11,NA,NA,NA,2,NA,NA
Nocardioides panacis,5,80,NA,1,NA,3,NA,NA,NA,2,NA,NA
Nocardioides aquaticus,2,48,NA,NA,NA,27,NA,1,NA,NA,NA,NA
Nocardioides pantholopis,2,32,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides ochotonae,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides renjunii,1,69,NA,NA,NA,3,NA,NA,NA,1,NA,NA
Nocardioides bizhenqiangii,1,46,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardioides dongkuii,1,38,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
Nocardioides cynanchi,1,53,NA,1,NA,1,NA,NA,NA,2,NA,NA
Nocardioidaceae bacterium,14,14,NA,1,NA,2,NA,NA,NA,1,NA,NA
Aeromicrobium choanae,2,11,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. Leaf245,1,19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Aeromicrobium chenweiae,1,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Pimelobacter simplex,2,55,NA,NA,NA,4,NA,1,NA,NA,NA,NA
Micropruina glycogenica,1,20,2,NA,1,1,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00525,91,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,89,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,149,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,20,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01167,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SN-593,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00385,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00459,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01351,8,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces sp. CB01881,8,21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00457,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. TLI_053,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NL15-2K,4,9,NA,NA,NA,1,NA,NA,NA,NA,1,NA
Streptomyces sp. NBC_00658,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01723,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00414,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00425,4,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
