species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12294,2853,76828,3027,NA,36,NA,NA,NA,101,NA,427
Kribbella sp. NBC_00359,91,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,38,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,79,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,681,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. che218,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kytococcus sedentarius,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,164,138,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,27,61,12934,51,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,20,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,29,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hymeniacidonis,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces anthocyanicus,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parafrankia sp. EAN1pec,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatrophihabitans sp. GAS493,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,49,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
