species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2
Cutibacterium acnes,11080,2324,71677,2751
Cutibacterium granulosum,8,12,51,100
Cutibacterium modestum,2,3,16,2
Cutibacterium avidum,1,3,7,7
Naumannella halotolerans,2,6,NA,NA
Aeromicrobium sp. A1-2,2,2,NA,NA
Nocardioides sp. NBC_00163,2,12,NA,1
Kribbella sp. HUAS MG21,2,5,NA,1
Rothia mucilaginosa,602,20,NA,4
Pseudarthrobacter oxydans,1,1,NA,NA
Cellulomonas fimi,63,23,NA,NA
Cellulomonas sp. NS3,1,5,NA,NA
Microbacterium sp. CGR1,5,NA,NA,NA
Microbacterium protaetiae,1,3,NA,NA
Microbacterium trichothecenolyticum,1,5,NA,NA
Microcella sp.,1,1,NA,NA
Brevibacterium spongiae,2,13,NA,NA
Brevibacterium sp. BDJS002,1,NA,NA,NA
Brevibacterium aurantiacum,1,4,NA,1
Georgenia yuyongxinii,2,5,NA,NA
Luteipulveratus mongoliensis,1,5,NA,NA
Corynebacterium tuberculostearicum,116,51,NA,27
Corynebacterium marquesiae,49,8,1,10
Corynebacterium kroppenstedtii,19,38,11835,37
Corynebacterium kefirresidentii,10,50,219,9
Corynebacterium genitalium,6,3,NA,NA
Corynebacterium marinum,3,NA,NA,NA
Corynebacterium doosanense,2,1,NA,NA
Corynebacterium aquatimens,3,NA,NA,NA
Corynebacterium mustelae,1,NA,NA,NA
Corynebacterium minutissimum,1,8,NA,5
Corynebacterium striatum,1,1,NA,NA
Mycobacterium intracellulare,32,18,NA,NA
Mycobacterium colombiense,1,2,NA,NA
Mycobacterium sp. SMC-2,22,1,NA,NA
Mycobacterium sp. 20KCMC460,3,5,NA,NA
Mycobacterium sp. M23085,1,2,NA,NA
Mycobacterium paragordonae,17,1,NA,3
Mycobacterium europaeum,1,7,NA,NA
Mycobacterium saskatchewanense,1,1,NA,NA
Mycobacterium noviomagense,2,2,NA,NA
Mycolicibacterium gadium,12,16,NA,NA
Mycolicibacterium parafortuitum,8,7,NA,NA
Mycolicibacterium litorale,5,24,NA,NA
Mycolicibacterium hassiacum,2,16,NA,NA
Mycolicibacterium celeriflavum,1,1,NA,NA
Mycolicibacterium moriokaense,1,9,NA,NA
Mycolicibacterium aurum,1,2,NA,NA
Mycolicibacter terrae,1,1,NA,NA
Gordonia rubripertincta,87,4,NA,NA
Gordonia insulae,3,1,NA,NA
Gordonia sp. KTR9,2,1,NA,NA
Gordonia iterans,2,NA,NA,NA
Nocardia cyriacigeorgica,33,12,NA,NA
Nocardia sp. NBC_00511,2,2,NA,NA
Nocardia iowensis,1,3,NA,NA
Nocardia huaxiensis,1,1,NA,NA
Rhodococcus opacus,5,13,NA,NA
Rhodococcoides fascians,2,8,NA,NA
Prescottella equi,1,11,NA,NA
Tsukamurella pulmonis,1,6,NA,NA
Amycolatopsis carbonis,227,1,NA,NA
Amycolatopsis acidiphila,1,4,NA,NA
Saccharomonospora viridis,1,2,NA,NA
Streptomyces sp. NBC_00057,94,NA,NA,NA
Streptomyces sp. SCSIO ZS0520,10,4,NA,NA
Streptomyces sp. NBC_00457,10,4,NA,NA
Streptomyces sp. NL15-2K,3,4,NA,NA
Streptomyces sp. NBC_00370,2,4,NA,NA
Streptomyces davaonensis,4,3,NA,NA
Streptomyces cadmiisoli,1,6,NA,NA
Streptomyces venezuelae,1,15,NA,NA
