species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,11080,2324,71677,2748,4,13,3,7,NA,79,NA,365
Cutibacterium granulosum,8,12,51,99,NA,NA,NA,NA,NA,2,NA,NA
Cutibacterium modestum,2,3,16,2,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,3,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Naumannella halotolerans,2,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. A1-2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. NBC_00163,2,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,2,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,602,20,NA,4,NA,1,NA,1,NA,1,NA,6
Pseudarthrobacter oxydans,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cellulomonas fimi,63,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cellulomonas sp. NS3,1,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Microbacterium sp. CGR1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium protaetiae,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium trichothecenolyticum,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcella sp.,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium spongiae,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium sp. BDJS002,1,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
Brevibacterium aurantiacum,1,4,NA,1,213,28,NA,NA,NA,NA,NA,3
Georgenia yuyongxinii,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteipulveratus mongoliensis,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,116,51,NA,27,NA,NA,NA,NA,NA,1,NA,NA
Corynebacterium marquesiae,49,8,1,10,NA,NA,NA,2,NA,NA,NA,NA
Corynebacterium kroppenstedtii,19,38,11835,37,NA,1,NA,NA,NA,1,NA,NA
Corynebacterium kefirresidentii,10,50,219,9,NA,NA,NA,NA,NA,2,NA,NA
Corynebacterium genitalium,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marinum,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium aquatimens,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium doosanense,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Corynebacterium mustelae,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Corynebacterium minutissimum,1,8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium striatum,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,32,18,NA,NA,NA,36,NA,NA,NA,NA,NA,NA
Mycobacterium colombiense,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. 20KCMC460,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
