species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12138,2816,75954,2996,NA,35,NA,NA,NA,99,NA,416
Kribbella sp. NBC_00359,60,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,38,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,58,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,676,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. che218,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kytococcus sedentarius,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,158,137,NA,49,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,27,61,12797,49,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,29,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis carbonis,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces anthocyanicus,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parafrankia sp. EAN1pec,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
