species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12837,3198,77206,3024,NA,56,NA,NA,NA,114,NA,446
Kribbella sp. NBC_00359,100,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,88,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioidaceae bacterium,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,683,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobacter sulfonylureivorans,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,172,87,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,28,62,243,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium pseudokroppenstedtii,28,NA,4352,19,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,42,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia sputorum,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amycolatopsis sp. 2-15,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus hoggarensis,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces venezuelae,131,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces pristinaespiralis,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodermatophilus sp. DSM 44513,41,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parafrankia sp. EAN1pec,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatrophihabitans sp. GAS493,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermoleophilum album,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conexibacter sp. S30A1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcoleus vaginatus,62,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,25,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichocoleus desertorum,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dehalogenimonas etheniformans,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas yindakuii,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. R10,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas maltophilia,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenotrophomonas pavanii,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysobacter sp. S4-A87,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoxanthomonas sp.,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xanthomonas hydrangeae,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thermomonas sp. XSG,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dokdonella koreensis,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyella terrae,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter johnsonii,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter haemolyticus,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter sp. KS-LM10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinetobacter lanii,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella osloensis,30,38,10,48,NA,NA,NA,NA,NA,41,NA,NA
Candidatus Sedimenticola sp. (ex Thyasira tokunagai),104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thiocapsa bogorovii,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klebsiella aerogenes,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rouxiella chamberiensis,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,25,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
Chromohalobacter canadensis,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas syringae,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uncultured Pseudomonadales bacterium,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shewanella halifaxensis,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CCGE-LA001,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. ORS 278,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium arachidis,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrobacter hamburgensis,18,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodopseudomonas palustris,16,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. L-2-11,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. B2-1-1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium onobrychidis,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesorhizobium erdmanii,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga lotononidis,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,43,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylobacterium currus,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium beringeri,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium sp. SRDI969,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium leguminosarum,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nisaea acidiphila,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uncultured Lichenicoccus sp.,11,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA
Sphingomonas sp. PAMC26645,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,530,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Variovorax paradoxus,41,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acidovorax temperans,34,NA,NA,13,NA,NA,NA,24,NA,NA,NA,13
Cupriavidus necator,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubrivivax gelatinosus,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chromobacterium vaccinii,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uncultured bacterium contig00001,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tenuifilaceae bacterium CYCD,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alistipes senegalensis,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gemmatimonadota bacterium,33,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Manganitrophus sp.,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minicystis rosea,54,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorangium cellulosum,20,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vicinamibacterales bacterium,43,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteitalea pratensis,12,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paludibaculum fermentans,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Nanosynbacter sp. HMT-348_TM7c-JB,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Nanogingivalaceae bacterium,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeoliella mucimassa,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phycisphaerales bacterium,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spirochaetia bacterium,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiospora kogelbergensis,1368,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiospora phragmitis,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pestalotiopsis fici,14,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beauveria bassiana,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verticillium dahliae,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venustampulla echinocandica,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyaloscypha bicolor,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mollisia scopiformis,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium pulvis,1575,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium longicatenatum,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium odoratum,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penicillium hordei,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus glaucus,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,16
Endocarpon pusillum,19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxophila tyrrhenica,414,42,NA,NA,48,19,NA,NA,NA,NA,NA,NA
Neohortaea acidophila,95,NA,NA,NA,11,29,NA,NA,NA,NA,NA,NA
Baudoinia panamericana,16,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA
Dissoconium aciculare,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
