species,A01_S1,A02_S2,A03_S3,A04_S4,A05_S5,A06_S6,A07_S7,A08_S8,A09_S9,A10_S10,A11_S11,A12_S12,B01_S13,B02_S14,B04_S16,B05_S17,B06_S18,B07_S19,B08_S20,B09_S21,B10_S22,B11_S23,B12_S24,Blank_S38,C01_S25,C02_S26,C03_S27,C05_S29,C06_S30,C07_S31,C08_S32,C09_S33,C10_S34,C11_S35,C12_S36,ENC_S37
Homo sapiens,187426,112379,212124,101405,212443,59403,75040,317468,143043,62731,290368,226626,59908,83638,92359,232774,160313,70,47002,93721,95746,169338,43887,76039,172106,96260,2458,107616,123069,13041,77010,10958,5702,NA,4947,15955
Pan troglodytes,695,650,1984,8044,1506,NA,427,2425,837,677,238,3985,1341,378,187,1907,3711,NA,356,656,381,968,398,NA,341,1225,99,1612,595,NA,493,NA,NA,NA,NA,NA
Pongo abelii,188,247,NA,628,2075,NA,NA,140,286,NA,244,79,90,121,1326,780,544,NA,79,125,354,262,177,NA,72,NA,NA,1755,133,NA,NA,NA,NA,NA,NA,NA
Symphalangus syndactylus,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,68,NA,NA,191,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,657,74,340,248,143,NA,209,135,330,147,163,133,163,105,85,128,599,NA,75,185,186,503,258,71,84,NA,NA,1205,7976,NA,NA,NA,NA,247,NA,NA
Macaca fascicularis,72,NA,59,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papio anubis,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,42,NA,NA,128,NA,NA,NA,4065,62,NA,93,430,NA,NA,121,375,204,NA,NA,88,72,59,49,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA
Mus musculus,110,233,NA,130,NA,96,NA,130,NA,1018,55,52,44,63,NA,266,221,NA,79,60,NA,338,50,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bos taurus,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
