species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,8370,2514,59184,1938,NA,NA,NA,NA,NA,102,NA,265
Rothia mucilaginosa,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,429,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga sp. RSM25,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,24,NA,NA,NA,28,NA,NA,NA,NA,NA,46,NA
Homo sapiens,2180,4411,5712,9673,679,360,558,222,NA,473,136,370
Malassezia restricta,249,286,1132,285,NA,NA,NA,NA,NA,NA,NA,34
Triticum dicoccoides,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,42,3041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magnolia sinica,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
