#0	../exposure_folder/processed_data/metagenomic/bracken/D1RP_S9.bracken (18811 reads)
#1	../exposure_folder/processed_data/metagenomic/bracken/D1SG_S1.bracken (26179 reads)
#2	../exposure_folder/processed_data/metagenomic/bracken/D2RP_S10.bracken (94785 reads)
#3	../exposure_folder/processed_data/metagenomic/bracken/D2SG_S2.bracken (19733 reads)
#4	../exposure_folder/processed_data/metagenomic/bracken/L1RP_S13.bracken (4495 reads)
#5	../exposure_folder/processed_data/metagenomic/bracken/L1SG_S5.bracken (2791 reads)
#6	../exposure_folder/processed_data/metagenomic/bracken/L2RP_S14.bracken (28469 reads)
#7	../exposure_folder/processed_data/metagenomic/bracken/L2SG_S6.bracken (716 reads)
#8	../exposure_folder/processed_data/metagenomic/bracken/S1RP_S11.bracken (1350 reads)
#9	../exposure_folder/processed_data/metagenomic/bracken/S1SG_S3.bracken (1630 reads)
#10	../exposure_folder/processed_data/metagenomic/bracken/S2RP_S12.bracken (129051 reads)
#11	../exposure_folder/processed_data/metagenomic/bracken/S2SG_S4.bracken (3092 reads)
x	0	1	2	3	4	5	6	7	8	9	10	11
0	0.000	0.712	0.745	0.676	0.854	0.941	0.965	0.963	0.997	0.916	0.997	0.915
1	x.xxx	0.000	0.849	0.558	0.884	0.870	0.967	0.952	0.995	0.899	0.996	0.912
2	x.xxx	x.xxx	0.000	0.761	0.967	0.989	0.987	0.992	1.000	0.983	0.998	0.981
3	x.xxx	x.xxx	x.xxx	0.000	0.863	0.930	0.964	0.943	0.996	0.900	0.995	0.894
4	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.837	0.950	0.863	0.991	0.761	0.996	0.851
5	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.966	0.695	0.981	0.672	0.995	0.749
6	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.975	0.995	0.950	0.997	0.964
7	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.959	0.597	0.996	0.731
8	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.971	1.000	0.982
9	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.996	0.653
10	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000	0.981
11	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	x.xxx	0.000
