species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,9171,2239,63784,2280,NA,15,NA,9,NA,75,NA,285
Cutibacterium granulosum,7,15,44,78,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,446,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,97,78,NA,32,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,43,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,17,47,9957,39,NA,NA,NA,NA,NA,NA,NA,NA
Gordonia rubripertincta,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardia cyriacigeorgica,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egicoccus halophilus,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,19,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,400,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escherichia coli,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. MC1750,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steroidobacter denitrificans,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
Microvirga sp. RSM25,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,33,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga roseola,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. CB1015,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. ORS 278,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrobacter hamburgensis,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodopseudomonas palustris,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizobium leguminosarum,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stieleria marina,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodopirellula sp. P2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteolibacter sp. LG18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitinophaga horti,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteitalea pratensis,6,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edaphobacter paludis,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,2836,5200,7389,11746,854,391,617,258,6,554,133,404
Malassezia restricta,300,353,1315,346,NA,NA,NA,NA,NA,5,NA,37
Aspergillus chevalieri,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Penicillium digitatum,7,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solanum dulcamara,251,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,124,3552,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
Cicer arietinum,61,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA
Triticum dicoccoides,62,19,NA,102,NA,NA,NA,NA,NA,NA,NA,NA
Dioscorea cayenensis,23,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
