species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,4446,936,39675,961,NA,1,1,4,NA,23,NA,113
Cutibacterium granulosum,3,3,14,24,NA,NA,NA,NA,NA,1,NA,NA
Cutibacterium modestum,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. A1-2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,120,6,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Corynebacterium tuberculostearicum,33,20,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,15,3,1,1,NA,NA,NA,1,NA,NA,NA,NA
Corynebacterium kroppenstedtii,3,14,6087,11,NA,NA,NA,NA,NA,1,NA,NA
Corynebacterium kefirresidentii,3,13,97,6,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium gadium,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,27,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaerocolumna sp. AGMB13020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oscillatoria nigro-viridis,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,157,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraburkholderia terricola,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moraxella sp. K02,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Luteibacter aegosomaticola,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyella caseinilytica,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas sp. Z003-0.4C(8344-21),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. 4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium sp. 170,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium diazoefficiens,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradyrhizobium roseum,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrobacter hamburgensis,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microvirga ossetica,5,21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Agrobacterium tumefaciens,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paremcibacter congregatus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitinophaga horti,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hymenobacter sp. BRD67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteitalea pratensis,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deinococcus deserti,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,1029,1922,2176,4193,262,108,219,101,3,210,59,129
Malassezia restricta,155,135,551,110,NA,NA,NA,1,NA,1,NA,16
Penicillium digitatum,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus sinensis,8,1457,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Micromonas commoda,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
