species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,39973,35133,35081,28200,33285,32090,34688
Bacillus velezensis,233,187,91,130,169,69,219
Bacillus amyloliquefaciens,58,17,25,19,31,103,385
Bacillus siamensis,6,NA,NA,NA,3,NA,NA
Bacillus subtilis,5495,6021,7982,4434,4313,5092,5054
Bacillus vallismortis,132,145,151,68,105,101,110
Bacillus inaquosorum,144,152,134,89,112,98,120
Bacillus halotolerans,68,73,50,57,39,58,67
Bacillus mojavensis,17,20,14,8,12,20,15
Bacillus stercoris,142,98,125,99,104,126,120
Bacillus tequilensis,43,33,53,46,39,32,56
Bacillus atrophaeus,30,29,26,19,21,31,26
Bacillus licheniformis,39,32,40,35,59,16,50
Bacillus paralicheniformis,2,5,4,NA,8,2,2
Bacillus sp. wens01,26,17,9,9,24,8,45
Bacillus sp. PPSBB_11,43,183,24,58,454,79,40
Bacillus sp. FSL R5-0523,6,3,2,NA,3,10,NA
Bacillus sp. T3,2,NA,1,NA,1,1,NA
Bacillus sp. PS196,20,12,NA,NA,NA,NA,NA
Bacillus sp. DX3.1,2,NA,NA,NA,NA,1,NA
Bacillus sp. FSL R5-0560,5,2,2,3,NA,2,2
Bacillus sp. SD-4,8,NA,NA,NA,18,NA,NA
Bacillus sp. FSL R5-0416,8,10,NA,NA,NA,NA,NA
Bacillus sp. DHVB1,1,NA,1,NA,NA,NA,NA
Bacillus sp. JS,4,10,6,5,4,16,20
Bacillus sp. YP1,141,NA,NA,NA,NA,NA,184
Bacillus sp. OxB-1,1,NA,NA,NA,1,NA,1
Bacillus sp. MD-5,4,9,6,NA,8,NA,4
Bacillus sp. FSL K6-1003,2,NA,NA,NA,NA,2,2
Bacillus sp. NEB1478,1,NA,NA,NA,NA,NA,NA
Bacillus sp. FSL M8-0071,11,27,NA,NA,12,13,NA
Bacillus sp. FSL K6-1012,5,5,NA,6,5,NA,NA
Bacillus sp. Y1,1,NA,1,NA,NA,NA,NA
Bacillus rugosus,57,59,55,28,34,49,46
Bacillus cabrialesii,40,32,29,15,27,34,31
Bacillus thuringiensis,4,3,NA,NA,3,3,NA
Bacillus cereus,8,4,4,542,212,NA,NA
Bacillus albus,5,NA,NA,NA,NA,NA,NA
Bacillus mycoides,1,1,NA,3,NA,NA,2
uncultured Bacillus sp.,6,NA,NA,NA,NA,8,NA
Bacillus pumilus,4,6,4,NA,3,3,6
Bacillus fonticola,3,1,NA,1,2,NA,NA
Bacillus safensis,3,3,5,NA,NA,NA,3
Bacillus swezeyi,1,1,1,2,1,2,1
Priestia megaterium,2,NA,1,3,2,2,4
Priestia aryabhattai,1,1,NA,NA,NA,NA,NA
Priestia koreensis,1,NA,NA,NA,NA,NA,1
Heyndrickxia coagulans,2,NA,NA,NA,1,NA,NA
Psychrobacillus sp. FSL H8-0483,1,NA,NA,NA,NA,NA,NA
Psychrobacillus glaciei,1,1,NA,NA,2,1,NA
Metabacillus endolithicus,2,NA,NA,1,NA,NA,NA
Rossellomorea marisflavi,1,NA,NA,NA,NA,NA,NA
Niallia circulans,1,NA,NA,NA,NA,NA,NA
Halalkalibacter krulwichiae,1,NA,NA,NA,NA,NA,1
Ornithinibacillus sp. FSL M8-0202,1,NA,NA,NA,1,1,NA
Mesobacillus jeotgali,1,NA,NA,NA,NA,NA,NA
Ectobacillus sp. JY-23,1,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,27367,20312,26461,25513,38248,40300,40123
Staphylococcus argenteus,18,16,29,29,30,36,21
Staphylococcus schweitzeri,15,13,20,10,22,33,26
Staphylococcus saprophyticus,13,6,15,9,26,27,16
Staphylococcus epidermidis,9,7,7,4,18,14,9
Staphylococcus simiae,8,5,5,5,12,8,12
Staphylococcus pseudintermedius,7,11,7,5,15,22,12
Staphylococcus hominis,6,2,1,3,3,5,6
Staphylococcus warneri,5,2,2,NA,2,3,3
Staphylococcus saccharolyticus,5,4,7,3,3,3,2
Staphylococcus sp. IVB6181,4,NA,3,NA,2,NA,NA
Staphylococcus lugdunensis,4,2,NA,1,6,1,5
Staphylococcus simulans,3,3,NA,1,1,4,3
Staphylococcus taiwanensis,3,NA,NA,2,2,3,3
Staphylococcus edaphicus,3,NA,3,2,1,NA,1
Staphylococcus haemolyticus,2,4,4,4,5,3,6
