species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12269,2588,76828,3023,5,15,3,7,NA,87,NA,424
Cutibacterium granulosum,8,13,57,120,NA,1,NA,NA,NA,2,NA,NA
Cutibacterium equinum,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Naumannella halotolerans,3,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Microlunatus sagamiharensis,3,66,NA,NA,NA,13,NA,NA,NA,4,NA,NA
Kribbella sp. NBC_00359,91,19,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00482,2,13,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00889,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,38,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,79,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. NBC_00163,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. InS609-2,1,36,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides sp. R1-1,1,15,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Nocardioides aquaticus,2,47,NA,NA,NA,18,NA,1,NA,NA,NA,NA
Nocardioides cynanchi,1,38,NA,1,NA,1,NA,NA,NA,2,NA,NA
Aeromicrobium sp. CTD01-1L150,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. Leaf245,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium choanae,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Pimelobacter simplex,2,39,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mumia sp. Pv 4-285,1,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,674,25,NA,5,NA,1,NA,1,NA,1,NA,6
Paenarthrobacter sp. R1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobacter sulfonylureivorans,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobacter sp. NicSoilB4,1,47,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Arthrobacter sp. UC242_113,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudarthrobacter psychrotolerans,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
Microbacterium sp. che218,81,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. zg-Y625,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. zg-B185,1,17,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Microbacterium arborescens,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium esteraromaticum,1,3,NA,NA,NA,1,NA,NA,NA,1,NA,1
Agromyces sp. MMS24-JH15,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces sp. H17E-10,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces badenianii,2,18,NA,NA,2,2,NA,NA,NA,NA,NA,NA
Agromyces larvae,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leifsonia sp. NPDC080035,2,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
Leifsonia xyli,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtobacterium sp. L1-20,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryobacterium sp. LW097,2,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Microcella sp.,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucobacter insecticola,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kytococcus sedentarius,15,7,NA,1,NA,1,NA,NA,NA,NA,NA,NA
Ruania zhangjianzhongii,9,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Occultella kanbiaonis,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium aurantiacum,4,3,NA,1,120,34,NA,NA,NA,NA,NA,2
Brevibacterium spongiae,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevibacterium sp. BDJS002,1,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,3
Brevibacterium koreense,1,1,NA,NA,265,9,NA,NA,NA,NA,1384,9
Brevibacterium linens,1,18,NA,NA,36,1,NA,NA,NA,NA,NA,NA
Ornithinimicrobium ciconiae,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Ornithinimicrobium pratense,1,2,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
Serinicoccus hydrothermalis,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allobranchiibius sp. GilTou73,1,6,NA,NA,NA,42,NA,NA,NA,1,NA,NA
Yimella sp. cx-51,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteipulveratus mongoliensis,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cellulomonas sp. NTE-D12,1,7,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
Cellulomonas fimi,1,21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Janibacter limosus,1,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Terrabacter sp. BE26,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgenia yuyongxinii,2,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Pengzhenrongella phosphoraccumulans,1,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,153,70,5,33,NA,NA,NA,NA,NA,3,NA,NA
Corynebacterium marquesiae,53,13,6,7,NA,NA,NA,1,NA,NA,NA,NA
Corynebacterium kroppenstedtii,25,44,12933,44,NA,1,NA,NA,NA,1,NA,NA
Corynebacterium genitalium,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium doosanense,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Corynebacterium striatum,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium ulcerans,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium sp. FDAARGOS 1242,1,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium dentalis,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kefirresidentii,8,36,137,6,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium confusum,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium matruchotii,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium minutissimum,1,9,NA,3,NA,NA,NA,1,NA,NA,NA,NA
Corynebacterium simulans,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. SMC-2,73,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. Aquia_216,3,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycobacterium sp. M23085,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium sp. ITM-2016-00318,1,39,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Mycobacterium sp. DL,1,12,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Mycobacterium sp. Aquia_213,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycobacterium sp. PDNC021,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium intracellulare,30,10,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
Mycobacterium avium,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium europaeum,25,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycobacterium saskatchewanense,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycobacterium lentiflavum,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycobacterium paragordonae,18,11,NA,4,NA,1,NA,NA,NA,NA,NA,NA
Mycobacterium paraterrae,18,7,NA,NA,NA,1,NA,NA,NA,2,NA,NA
Mycobacterium gallinarum,2,18,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Mycobacterium lacus,1,5,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
Mycobacterium adipatum,2,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Candidatus Mycobacterium methanotrophicum,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium mageritense,20,12,NA,NA,NA,1,NA,NA,NA,1,NA,2
Mycolicibacterium sp. TUM20985,2,24,NA,1,NA,1,NA,NA,1,1,NA,NA
Mycolicibacterium sp. YH-1,1,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacterium litorale,4,19,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Mycolicibacterium farcinogenes,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium rhodesiae,2,33,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Mycolicibacterium phlei,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium fluoranthenivorans,1,14,NA,NA,3,NA,NA,NA,NA,1,NA,NA
Mycolicibacterium nivoides,1,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium chubuense,1,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mycolicibacterium diernhoferi,1,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Mycolicibacterium doricum,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycolicibacterium hassiacum,1,23,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Mycolicibacter terrae,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
[Mycobacterium] wendilense,1,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardia sputorum,60,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Nocardia nova,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardia salmonicida,4,25,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
