"name"	"taxRank"	"taxID"	"Max"	"ZC1_S4.cladeReads"	"ZC2_S5.cladeReads"	"ZC3_S6.cladeReads"	"ZC4_S7.cladeReads"	"ZP1_S20.cladeReads"	"ZP2_S21.cladeReads"	"ZP3_S22.cladeReads"	"lineage"
"root><wbr>...><wbr>Bacillus subtilis"	"S"	1423	25890	25890	20403	21723	16375	20134	18718	20417	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Staphylococcus aureus"	"S"	1280	35211	22405	18141	23278	22482	33509	34043	35211	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Listeria monocytogenes"	"S"	1639	25649	16562	12837	16438	17319	25229	24726	25649	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Enterococcus faecalis"	"S"	1351	34074	30719	26032	31603	27669	32001	32585	34074	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"root><wbr>...><wbr>Limosilactobacillus fermentum"	"S"	1613	28988	16048	13142	15291	18709	26250	24505	28988	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Limosilactobacillus"
"root><wbr>...><wbr>Escherichia coli"	"S"	562	48264	48264	47565	42105	31175	35012	32987	38006	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Salmonella enterica"	"S"	28901	40466	40466	39387	35050	26226	33168	30971	36025	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Pseudomonas aeruginosa"	"S"	287	28068	20095	20193	15576	14557	24680	22276	28068	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group"
"root><wbr>...><wbr>Saccharomyces cerevisiae"	"S"	4932	6982	6223	6982	6243	5137	5709	5575	6121	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae>Saccharomyces"
"root><wbr>...><wbr>Cryptococcus neoformans"	"S"	5207	6596	6170	4419	6596	4913	3987	3540	4089	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Tremellomycetes>Tremellales>Cryptococcaceae>Cryptococcus>Cryptococcus&nbsp;neoformans&nbsp;species&nbsp;complex"
