species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,13129,2930,78226,3061,7,22,3,7,NA,92,NA,447
Cutibacterium granulosum,8,14,56,122,NA,1,NA,NA,NA,2,NA,NA
Cutibacterium equinum,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,3,6,5,NA,NA,NA,NA,NA,NA,NA,NA
Propionimicrobium sp. PCR01-08-3,27,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arachnia propionica,5,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Microlunatus sagamiharensis,3,77,NA,NA,NA,15,NA,NA,NA,4,NA,NA
Microlunatus elymi,1,17,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Acidipropionibacterium jensenii,1,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Raineyella fluvialis,1,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,149,24,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00482,2,16,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00889,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,1,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,101,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides panacis,3,76,NA,1,NA,3,NA,NA,NA,2,NA,NA
Nocardioides sp. InS609-2,1,48,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides sp. TF02-7,1,36,NA,NA,NA,2,NA,1,NA,NA,NA,NA
Nocardioides aquaticus,2,46,NA,NA,NA,26,NA,1,NA,NA,NA,NA
Nocardioides pantholopis,2,31,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides bizhenqiangii,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides ochotonae,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides dongkuii,1,32,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
