species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,12570,2588,77821,3072,5,17,3,7,NA,90,NA,431
Cutibacterium granulosum,8,13,57,123,NA,1,NA,NA,NA,2,NA,NA
Cutibacterium equinum,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
Cutibacterium avidum,1,3,6,5,NA,NA,NA,NA,NA,NA,NA,NA
Arachnia propionica,5,4,NA,1,NA,2,NA,NA,NA,NA,NA,NA
Naumannella halotolerans,4,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Microlunatus sagamiharensis,3,78,NA,NA,NA,17,NA,NA,NA,4,NA,NA
Acidipropionibacterium jensenii,1,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Raineyella fluvialis,1,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,93,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardioides sp. TF02-7,1,40,NA,NA,NA,2,NA,1,NA,NA,NA,NA
Nocardioides sp. NBC_00163,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides sp. InS609-2,1,42,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides sp. R1-1,1,16,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Nocardioides aquaticus,2,54,NA,NA,NA,25,NA,1,NA,NA,NA,NA
Nocardioides pantholopis,1,32,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Nocardioides dongkuii,1,32,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Nocardioides ochotonae,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides cynanchi,1,51,NA,1,NA,1,NA,NA,NA,2,NA,NA
Aeromicrobium sp. CTD01-1L150,75,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Aeromicrobium sp. Leaf245,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeromicrobium choanae,5,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Aeromicrobium chenweiae,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimelobacter simplex,2,65,NA,NA,NA,4,NA,NA,NA,2,NA,NA
Micropruina glycogenica,1,17,1,NA,1,NA,NA,NA,NA,NA,NA,NA
Mumia sp. Pv 4-285,1,17,NA,1,NA,2,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,142,24,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00889,2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00482,2,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Kribbella sp. HUAS MG21,1,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,39,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rothia mucilaginosa,683,26,NA,6,NA,1,NA,1,NA,1,NA,6
Rothia dentocariosa,3,19,140,104,NA,1,NA,6,NA,2,NA,1
Rothia aeria,1,2,NA,5,NA,NA,NA,2,NA,2,NA,NA
Arthrobacter sp. NicSoilB4,2,47,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Arthrobacter sp. UC242_113,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobacter sp. StoSoilB20,1,1,NA,2,NA,NA,NA,NA,NA,NA,6858,15
Arthrobacter sulfonylureivorans,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paenarthrobacter sp. R1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citricoccus sp. I39-566,4,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Pseudarthrobacter psychrotolerans,1,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
Pseudarthrobacter oxydans,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glutamicibacter endophyticus,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. che218,86,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. CGR1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. zg-Y625,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microbacterium sp. zg-B185,1,25,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Microbacterium sp. 10M-3C3,1,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Microbacterium sp. LWS13-1.2,1,20,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Microbacterium marinum,10,7,NA,NA,NA,NA,NA,NA,65,NA,NA,NA
Microbacterium atlanticum,4,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Microbacterium esteraromaticum,3,4,NA,NA,NA,1,NA,NA,NA,1,NA,1
Microbacterium arborescens,2,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Microbacterium rhizosphaerae,1,9,NA,NA,NA,1,NA,NA,NA,1,NA,NA
Microbacterium elymi,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces aureus,54,29,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Agromyces sp. MMS24-JH15,15,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Agromyces sp. H17E-10,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agromyces badenianii,2,24,NA,NA,2,2,NA,NA,NA,NA,NA,NA
Agromyces larvae,1,20,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Agrococcus sp. Marseille-Q4369,18,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Agrococcus terreus,1,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Curtobacterium sp. TC1,4,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA
Curtobacterium sp. L1-20,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtobacterium sp. MCBD17_026,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucobacter sp. HNU,1,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Leucobacter sp. Psy1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucobacter insecticola,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucobacter luti,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leifsonia sp. NPDC080035,3,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
Leifsonia xyli,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Cryobacterium sp. LW097,2,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Frigoribacterium sp. SL97,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Microcella sp.,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frondihabitans sp. PAMC 28766,1,9,NA,NA,5,9,NA,NA,NA,2,1,NA
Kytococcus sedentarius,15,11,NA,2,NA,5,NA,NA,NA,NA,NA,NA
Georgenia sp. TF02-10,10,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Georgenia yuyongxinii,3,9,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
