"name"	"taxRank"	"taxID"	"Max"	"ZC1_S4.cladeReads"	"ZC2_S5.cladeReads"	"ZC3_S6.cladeReads"	"ZC4_S7.cladeReads"	"ZP1_S20.cladeReads"	"ZP2_S21.cladeReads"	"ZP3_S22.cladeReads"	"lineage"
"root><wbr>...><wbr>Bacillus spizizenii"	"S"	96241	25695	25695	18432	20854	15249	19979	17144	19350	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus subtilis"	"S"	1423	1745	1230	1745	966	649	575	1376	674	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus inaquosorum"	"S"	483913	65	65	39	47	40	51	29	38	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus vallismortis"	"S"	72361	37	34	37	31	NA	36	23	36	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus stercoris"	"S"	2054641	98	93	NA	98	NA	NA	80	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Bacillus rugosus"	"S"	2715209	30	30	NA	29	NA	NA	17	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus"
"root><wbr>...><wbr>Bacillus cabrialesii"	"S"	2487276	24	24	NA	18	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus"
"root><wbr>...><wbr>Staphylococcus aureus"	"S"	1280	20143	14752	10138	14018	11940	20143	19189	19426	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Staphylococcus argenteus"	"S"	985002	16	16	NA	15	NA	15	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"root><wbr>...><wbr>Listeria monocytogenes"	"S"	1639	20203	14000	9626	13128	12593	20203	18745	19242	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria innocua"	"S"	1642	80	55	44	78	75	40	76	80	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Enterococcus faecalis"	"S"	1351	20611	20611	14582	19406	14993	19604	18794	19308	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"root><wbr>...><wbr>Limosilactobacillus fermentum"	"S"	1613	14284	10194	6435	8171	9768	14263	12377	14284	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Limosilactobacillus"
"root><wbr>...><wbr>Actinomyces oris"	"S"	544580	15	15	NA	13	NA	11	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Actinomyces"
"root><wbr>...><wbr>Salmonella enterica"	"S"	28901	34854	34854	24587	26082	18505	24704	22333	25357	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Salmonella bongori"	"S"	54736	18	18	NA	14	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"root><wbr>...><wbr>Escherichia coli"	"S"	562	20268	20268	19120	14781	11713	13868	10995	12802	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Escherichia albertii"	"S"	208962	15	15	NA	14	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"root><wbr>...><wbr>Shigella flexneri"	"S"	623	2297	2297	NA	1668	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Shigella dysenteriae"	"S"	622	118	118	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Shigella"
"root><wbr>...><wbr>Pseudomonas aeruginosa"	"S"	287	14467	13164	10975	8310	8189	13791	11191	14467	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group"
"root><wbr>...><wbr>Cryptococcus neoformans"	"S"	5207	4430	4430	2626	3990	2915	2495	2111	2385	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Tremellomycetes>Tremellales>Cryptococcaceae>Cryptococcus>Cryptococcus&nbsp;neoformans&nbsp;species&nbsp;complex"
"root><wbr>...><wbr>Cryptococcus tetragattii"	"S"	1859121	24	24	NA	21	NA	NA	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Agaricomycotina>Tremellomycetes>Tremellales>Cryptococcaceae>Cryptococcus>Cryptococcus&nbsp;gattii&nbsp;species&nbsp;complex"
"root><wbr>...><wbr>Saccharomyces cerevisiae"	"S"	4932	3145	3145	2885	2836	2002	2547	2289	2450	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae>Saccharomyces"
"root><wbr>...><wbr>Saccharomyces paradoxus"	"S"	27291	25	18	13	25	11	19	10	19	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae>Saccharomyces"
"root><wbr>...><wbr>Homo sapiens"	"S"	9606	41	21	NA	13	20	25	34	41	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae>Homo"
"root><wbr>...><wbr>Juglans regia"	"S"	51240	26	20	26	NA	NA	18	NA	NA	"cellular&nbsp;organisms>Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>rosids>fabids>Fagales>Juglandaceae>Juglans"
"root><wbr>...><wbr>Neptuniibacter halophilus"	"S"	651666	48	NA	24	NA	48	12	NA	13	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae>Neptuniibacter"
"root><wbr>...><wbr>Bacillus atrophaeus"	"S"	1452	11	NA	NA	11	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"root><wbr>...><wbr>Listeria swaminathanii"	"S"	2713501	24	NA	NA	24	NA	16	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Listeria welshimeri"	"S"	1643	16	NA	NA	NA	NA	12	NA	16	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"root><wbr>...><wbr>Staphylococcus saprophyticus"	"S"	29385	22	NA	NA	NA	NA	18	22	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
