species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,6450,1604,50256,1552,NA,NA,NA,NA,NA,59,NA,181
Rothia mucilaginosa,285,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium tuberculostearicum,65,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium marquesiae,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynebacterium kroppenstedtii,13,31,7528,38,NA,NA,NA,NA,NA,NA,NA,NA
Egicoccus halophilus,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Granulicatella adiacens,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes faecalis,251,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcaligenes sp. SORT26,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cupriavidus necator,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luteimonas sp. MC1750,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylocaldum szegediense,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,1672,3254,4357,7453,320,194,379,162,NA,319,74,237
Malassezia restricta,233,225,864,201,NA,NA,NA,NA,NA,NA,NA,21
Citrus sinensis,16,2383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
