species,D1RP_S9,D1SG_S1,D2RP_S10,D2SG_S2,L1RP_S13,L1SG_S5,L2RP_S14,L2SG_S6,S1RP_S11,S1SG_S3,S2RP_S12,S2SG_S4
Cutibacterium acnes,13270,3140,78892,3081,6,43,NA,11,NA,114,NA,456
Cutibacterium granulosum,8,14,56,124,NA,NA,NA,NA,NA,NA,NA,NA
Propionimicrobium sp. PCR01-08-3,48,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arachnia propionica,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella sp. NBC_00359,161,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kribbella flavida,18,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides houyundeii,104,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioides panacis,5,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nocardioidaceae bacterium,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00525,95,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01235,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. JL1001,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SJL17-4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01167,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. SN-593,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00385,11,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00459,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_01351,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. CB01881,9,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. NBC_00457,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces sp. TLI_053,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces pristinaespiralis,216,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
